dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,logistic_regression,ctgan,1.0,0.8492230206989742,0.0013304480625575645,0.8474909403599288,0.8506848473680978,5,0.6554008536028518,0.004427909110868161,0.6490459363957597,0.6610901993587063,5,0.8964671727198802,0.0023027780188167465,0.8936019145631124,0.8991826975049247,5
adult,full,logistic_regression,llm_constrained,1.0,0.8492230206989742,0.0013304480625575645,0.8474909403599288,0.8506848473680978,5,0.6554008536028518,0.004427909110868161,0.6490459363957597,0.6610901993587063,5,0.8964671727198802,0.0023027780188167465,0.8936019145631124,0.8991826975049247,5
adult,full,logistic_regression,llm_sample,1.0,0.8492230206989742,0.0013304480625575645,0.8474909403599288,0.8506848473680978,5,0.6554008536028518,0.004427909110868161,0.6490459363957597,0.6610901993587063,5,0.8964671727198802,0.0023027780188167465,0.8936019145631124,0.8991826975049247,5
adult,low,logistic_regression,ctgan,1.0,0.8317056691849395,0.0,0.8317056691849395,0.8317056691849395,5,0.6387130801687764,0.0,0.6387130801687764,0.6387130801687764,5,0.8722329383726215,0.0,0.8722329383726215,0.8722329383726215,5
adult,low,logistic_regression,llm_constrained,1.0,0.8317056691849395,0.0,0.8317056691849395,0.8317056691849395,5,0.6387130801687764,0.0,0.6387130801687764,0.6387130801687764,5,0.8722329383726215,0.0,0.8722329383726215,0.8722329383726215,5
adult,low,logistic_regression,llm_sample,1.0,0.8317056691849395,0.0,0.8317056691849395,0.8317056691849395,5,0.6387130801687764,0.0,0.6387130801687764,0.6387130801687764,5,0.8722329383726215,0.0,0.8722329383726215,0.8722329383726215,5
credit,full,logistic_regression,ctgan,0.0,0.786,0.0,0.786,0.786,5,0.3971830985915493,0.0,0.3971830985915493,0.3971830985915493,5,0.6976435199661478,0.0,0.6976435199661478,0.6976435199661478,5
credit,full,logistic_regression,llm_constrained,1.0,0.8078333333333333,0.0012247448713915941,0.8066666666666666,0.8096666666666666,5,0.3568999378494136,0.021114921443088533,0.3294797687861271,0.3783783783783784,5,0.7073445216157015,0.0022916702923641667,0.7039459796541597,0.7099131746757938,5
credit,full,logistic_regression,llm_sample,0.0,0.8065,0.0,0.8065,0.8065,5,0.4577300326950023,0.0,0.4577300326950023,0.4577300326950023,5,0.6772270467472474,0.0,0.6772270467472474,0.6772270467472474,5
credit,low,logistic_regression,ctgan,0.0,0.7708333333333333,0.0050922053724840426,0.7646666666666667,0.7785,5,0.3929679334285573,0.031180753640721218,0.3547169811320754,0.4370015948963317,5,0.6882097947273946,0.007715129712920264,0.6818507641663835,0.7016063838004758,5
credit,low,logistic_regression,llm_constrained,1.0,0.7995,0.0,0.7995,0.7995,5,0.3827603899435608,0.0,0.3827603899435608,0.3827603899435608,5,0.6960644379011303,0.0,0.6960644379011303,0.6960644379011303,5
credit,low,logistic_regression,llm_sample,0.0,0.7973666666666667,0.005062662891755255,0.7895,0.8031666666666667,5,0.45173649397323795,0.02544588435033745,0.4177040110650069,0.4762749445676275,5,0.670039191617061,0.007770389884506496,0.662069181275299,0.6795321324332523,5
heart,full,logistic_regression,ctgan,0.5,0.8688524590163935,0.020077784776911235,0.8360655737704918,0.8852459016393442,5,0.8598378617496399,0.023726261966491115,0.8214285714285714,0.8813559322033898,5,0.9376623376623376,0.014831183994048343,0.9166666666666669,0.9523809523809524,5
heart,full,logistic_regression,llm_constrained,0.5,0.9147540983606559,0.0073313704180320936,0.9016393442622952,0.918032786885246,5,0.9083959899749374,0.008686479611841316,0.8928571428571429,0.912280701754386,5,0.9729437229437229,0.005246406772095498,0.9642857142857144,0.9772727272727272,5
heart,full,logistic_regression,llm_sample,0.25,0.8852459016393442,0.016393442622950893,0.8688524590163934,0.9016393442622952,5,0.8806390025326319,0.01617881214917086,0.8620689655172413,0.896551724137931,5,0.9487012987012987,0.0012339560877696238,0.946969696969697,0.9502164502164502,5
heart,low,logistic_regression,ctgan,1.0,0.7868852459016393,0.0,0.7868852459016393,0.7868852459016393,5,0.7636363636363637,0.0,0.7636363636363637,0.7636363636363637,5,0.8766233766233766,0.0,0.8766233766233766,0.8766233766233766,5
heart,low,logistic_regression,llm_constrained,0.0,0.878688524590164,0.047229050134058835,0.819672131147541,0.9344262295081968,5,0.8637533535646742,0.05567245198415995,0.8,0.9333333333333332,5,0.958008658008658,0.025808908796046096,0.9134199134199136,0.9772727272727272,5
heart,low,logistic_regression,llm_sample,0.0,0.8557377049180328,0.01371573813990286,0.8360655737704918,0.8688524590163934,5,0.8450554351981647,0.014704712435261955,0.8214285714285714,0.8571428571428571,5,0.9569264069264068,0.0019359895909088576,0.9545454545454546,0.9588744588744588,5
