dataset,regime,model,ratio,method,auc_mean,rank
adult,full,logistic_regression,0.0,ctgan,0.8894418317947033,1.0
adult,full,logistic_regression,0.0,llm_sample,0.8692931899021035,2.0
adult,full,logistic_regression,0.0,llm_constrained,0.8371947543764238,3.0
adult,full,logistic_regression,0.25,ctgan,0.8935772998270153,1.0
adult,full,logistic_regression,0.25,llm_sample,0.8813353619790147,2.0
adult,full,logistic_regression,0.25,llm_constrained,0.8706946156414814,3.0
adult,full,logistic_regression,0.5,ctgan,0.8969376420412667,1.0
adult,full,logistic_regression,0.5,llm_sample,0.8907809888591764,2.0
adult,full,logistic_regression,0.5,llm_constrained,0.8834047938515852,3.0
adult,full,logistic_regression,0.75,ctgan,0.8982179805085246,1.0
adult,full,logistic_regression,0.75,llm_sample,0.8950834573793085,2.0
adult,full,logistic_regression,0.75,llm_constrained,0.8941912505611604,3.0
adult,full,logistic_regression,1.0,ctgan,0.8964671727198802,1.0
adult,full,logistic_regression,1.0,llm_constrained,0.8964671727198802,1.0
adult,full,logistic_regression,1.0,llm_sample,0.8964671727198802,1.0
adult,low,logistic_regression,0.0,ctgan,0.8639440347215819,1.0
adult,low,logistic_regression,0.0,llm_sample,0.8434314744523839,2.0
adult,low,logistic_regression,0.0,llm_constrained,0.8102952137385857,3.0
adult,low,logistic_regression,0.25,ctgan,0.8707143291763033,1.0
adult,low,logistic_regression,0.25,llm_sample,0.8573618050471918,2.0
adult,low,logistic_regression,0.25,llm_constrained,0.8470128850992399,3.0
adult,low,logistic_regression,0.5,ctgan,0.8776480402199601,1.0
adult,low,logistic_regression,0.5,llm_sample,0.8697098672849206,2.0
adult,low,logistic_regression,0.5,llm_constrained,0.8649013957341566,3.0
adult,low,logistic_regression,0.75,ctgan,0.8723130387217901,1.0
adult,low,logistic_regression,0.75,llm_sample,0.8720898981516157,2.0
adult,low,logistic_regression,0.75,llm_constrained,0.8680793041130572,3.0
adult,low,logistic_regression,1.0,ctgan,0.8722329383726215,1.0
adult,low,logistic_regression,1.0,llm_constrained,0.8722329383726215,1.0
adult,low,logistic_regression,1.0,llm_sample,0.8722329383726215,1.0
credit,full,logistic_regression,0.0,ctgan,0.6976435199661478,1.0
credit,full,logistic_regression,0.0,llm_sample,0.6772270467472474,2.0
credit,full,logistic_regression,0.0,llm_constrained,0.6675650061094286,3.0
credit,full,logistic_regression,0.25,ctgan,0.7056511689674252,1.0
credit,full,logistic_regression,0.25,llm_sample,0.6814508977562103,2.0
credit,full,logistic_regression,0.25,llm_constrained,0.674412661941784,3.0
credit,full,logistic_regression,0.5,ctgan,0.7080360795739962,1.0
credit,full,logistic_regression,0.5,llm_sample,0.6866895734623906,2.0
credit,full,logistic_regression,0.5,llm_constrained,0.6840841203076049,3.0
credit,full,logistic_regression,0.75,ctgan,0.7092496763865468,1.0
credit,full,logistic_regression,0.75,llm_constrained,0.6925835553245561,2.0
credit,full,logistic_regression,0.75,llm_sample,0.6902651171063837,3.0
credit,full,logistic_regression,1.0,ctgan,0.7073445216157015,1.0
credit,full,logistic_regression,1.0,llm_constrained,0.7073445216157015,1.0
credit,full,logistic_regression,1.0,llm_sample,0.7073445216157015,1.0
credit,low,logistic_regression,0.0,ctgan,0.6882097947273946,1.0
credit,low,logistic_regression,0.0,llm_sample,0.670039191617061,2.0
credit,low,logistic_regression,0.0,llm_constrained,0.6611307627343728,3.0
credit,low,logistic_regression,0.25,ctgan,0.6985522017083823,1.0
credit,low,logistic_regression,0.25,llm_sample,0.6692345886702474,2.0
credit,low,logistic_regression,0.25,llm_constrained,0.665192641722696,3.0
credit,low,logistic_regression,0.5,ctgan,0.6970505578794373,1.0
credit,low,logistic_regression,0.5,llm_sample,0.6726407422201746,2.0
credit,low,logistic_regression,0.5,llm_constrained,0.6710273757549301,3.0
credit,low,logistic_regression,0.75,ctgan,0.6926778293620569,1.0
credit,low,logistic_regression,0.75,llm_constrained,0.6806040117908665,2.0
credit,low,logistic_regression,0.75,llm_sample,0.6732307693300077,3.0
credit,low,logistic_regression,1.0,ctgan,0.6960644379011303,1.0
credit,low,logistic_regression,1.0,llm_constrained,0.6960644379011303,1.0
credit,low,logistic_regression,1.0,llm_sample,0.6960644379011303,1.0
heart,full,logistic_regression,0.0,llm_constrained,0.9645021645021643,1.0
heart,full,logistic_regression,0.0,llm_sample,0.935064935064935,2.0
heart,full,logistic_regression,0.0,ctgan,0.672077922077922,3.0
heart,full,logistic_regression,0.25,llm_constrained,0.9746753246753247,1.0
heart,full,logistic_regression,0.25,llm_sample,0.9487012987012987,2.0
heart,full,logistic_regression,0.25,ctgan,0.9465367965367966,3.0
heart,full,logistic_regression,0.5,llm_constrained,0.9729437229437229,1.0
heart,full,logistic_regression,0.5,llm_sample,0.9476190476190476,2.0
heart,full,logistic_regression,0.5,ctgan,0.9376623376623376,3.0
heart,full,logistic_regression,0.75,llm_constrained,0.9575757575757576,1.0
heart,full,logistic_regression,0.75,llm_sample,0.9413419913419915,2.0
heart,full,logistic_regression,0.75,ctgan,0.9326839826839827,3.0
heart,full,logistic_regression,1.0,ctgan,0.9393939393939394,1.0
heart,full,logistic_regression,1.0,llm_constrained,0.9393939393939394,1.0
heart,full,logistic_regression,1.0,llm_sample,0.9393939393939394,1.0
heart,low,logistic_regression,0.0,llm_constrained,0.958008658008658,1.0
heart,low,logistic_regression,0.0,llm_sample,0.9569264069264068,2.0
heart,low,logistic_regression,0.0,ctgan,0.3937229437229437,3.0
heart,low,logistic_regression,0.25,llm_constrained,0.9445887445887445,1.0
heart,low,logistic_regression,0.25,llm_sample,0.9292207792207792,2.0
heart,low,logistic_regression,0.25,ctgan,0.7621212121212121,3.0
heart,low,logistic_regression,0.5,llm_constrained,0.9316017316017315,1.0
heart,low,logistic_regression,0.5,llm_sample,0.8974025974025974,2.0
heart,low,logistic_regression,0.5,ctgan,0.8004329004329005,3.0
heart,low,logistic_regression,0.75,llm_sample,0.8917748917748918,1.0
heart,low,logistic_regression,0.75,llm_constrained,0.8887445887445887,2.0
heart,low,logistic_regression,0.75,ctgan,0.8658008658008658,3.0
heart,low,logistic_regression,1.0,ctgan,0.8766233766233766,1.0
heart,low,logistic_regression,1.0,llm_constrained,0.8766233766233766,1.0
heart,low,logistic_regression,1.0,llm_sample,0.8766233766233766,1.0
