dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,logistic_regression,ctgan,0.0,0.8332412014004053,0.0,0.8332412014004054,0.8332412014004054,5,0.5395964049516704,0.0,0.5395964049516704,0.5395964049516704,5,0.8894418317947033,0.0,0.8894418317947032,0.8894418317947032,5
adult,full,logistic_regression,ctgan,0.25,0.8428597751980836,0.0006043055771143518,0.8419630243842516,0.8435599778883361,5,0.5906194130314663,0.002894939821721491,0.5872477804681194,0.5947494033412888,5,0.8935772998270153,0.0010314798538272455,0.8922921396148166,0.8950172200695828,5
adult,full,logistic_regression,ctgan,0.5,0.8475769301639948,0.0017618383749703277,0.8456483017013697,0.8502548983477674,5,0.6199042499174435,0.005841804295896612,0.6126098350547249,0.6286932683521169,5,0.8969376420412667,0.001744197861073552,0.8949724945169901,0.8986699114124597,5
adult,full,logistic_regression,ctgan,0.75,0.8502180455745961,0.0017478646939839432,0.8475523616485474,0.8520361157177078,5,0.6396549035918934,0.0077525862729598835,0.6293309438470729,0.6475493782004389,5,0.8982179805085246,0.001275432603052692,0.8966926614338397,0.8993370100706722,5
adult,full,logistic_regression,ctgan,1.0,0.8492230206989742,0.0013304480625575645,0.8474909403599288,0.8506848473680978,5,0.6554008536028518,0.004427909110868161,0.6490459363957597,0.6610901993587063,5,0.8964671727198802,0.0023027780188167465,0.8936019145631124,0.8991826975049247,5
adult,full,logistic_regression,llm_constrained,0.0,0.818315828266077,0.0,0.8183158282660771,0.8183158282660771,5,0.5549202527836292,0.0,0.5549202527836292,0.5549202527836292,5,0.8371947543764238,0.0,0.8371947543764238,0.8371947543764238,5
adult,full,logistic_regression,llm_constrained,0.25,0.835820895522388,0.0008410456321865285,0.8348381549044899,0.8371107425833794,5,0.5987698311777085,0.003095885455867775,0.5941853422168383,0.6021152986742142,5,0.8706946156414814,0.0022736296916877436,0.8674649623701073,0.8733161686740891,5
adult,full,logistic_regression,llm_constrained,0.5,0.8423192678582396,0.0010409051121830872,0.8411031263435906,0.8434371353110989,5,0.6219090000503813,0.002311060387256466,0.6192033293697978,0.6252021761505661,5,0.8834047938515852,0.0011252086371645628,0.8819895176185013,0.8847243837481685,5
adult,full,logistic_regression,llm_constrained,0.75,0.849235304956698,0.00115612422111195,0.8482279958233524,0.850991953811191,5,0.6445780880883112,0.0063530928863846075,0.6363904452963728,0.6511360368133449,5,0.8941912505611604,0.00237254040391412,0.8919061700143922,0.898112567043896,5
adult,full,logistic_regression,llm_constrained,1.0,0.8492230206989742,0.0013304480625575645,0.8474909403599288,0.8506848473680978,5,0.6554008536028518,0.004427909110868161,0.6490459363957597,0.6610901993587063,5,0.8964671727198802,0.0023027780188167465,0.8936019145631124,0.8991826975049247,5
adult,full,logistic_regression,llm_sample,0.0,0.8284503408881518,0.0,0.8284503408881518,0.8284503408881518,5,0.5387283236994219,0.0,0.5387283236994219,0.5387283236994219,5,0.8692931899021035,0.0,0.8692931899021036,0.8692931899021036,5
adult,full,logistic_regression,llm_sample,0.25,0.8356243473988083,0.0009869542980285885,0.8340396781524476,0.836496529697193,5,0.5734681218824919,0.005171214402295819,0.56484336958286,0.577996195307546,5,0.8813353619790147,0.002948976096403552,0.876287250122896,0.8840498203764098,5
adult,full,logistic_regression,llm_sample,0.5,0.8436091149192311,0.0015667847185908221,0.8418401818070144,0.8460168294330815,5,0.6079656058367823,0.008186556281452796,0.6007132888819972,0.6210128495842782,5,0.8907809888591764,0.003677940306375351,0.8846343262656924,0.8937607226846372,5
adult,full,logistic_regression,llm_sample,0.75,0.8467907376696763,0.003086564899484853,0.8424543946932007,0.8500092131932928,5,0.6270830787737918,0.01338108762398802,0.6084567241642498,0.6398948598130841,5,0.8950834573793085,0.00034347234879135175,0.8948232002460639,0.8955852074050795,5
adult,full,logistic_regression,llm_sample,1.0,0.8492230206989742,0.0013304480625575645,0.8474909403599288,0.8506848473680978,5,0.6554008536028518,0.004427909110868161,0.6490459363957597,0.6610901993587063,5,0.8964671727198802,0.0023027780188167465,0.8936019145631124,0.8991826975049247,5
adult,low,logistic_regression,ctgan,0.0,0.8262637430133284,0.009001792247027043,0.8138934954855352,0.8352066826362017,5,0.5287995149503265,0.0519469753457478,0.4575725026852846,0.5844819575654329,5,0.8639440347215819,0.010434961677230408,0.8471497549085719,0.8739177158562016,5
adult,low,logistic_regression,ctgan,0.25,0.8370861740679321,0.005048067704940308,0.82943308150605,0.843252871445243,5,0.5871279947359523,0.023624457046614568,0.5578729501671709,0.6104370706037129,5,0.8707143291763033,0.007112168006252261,0.863679307124034,0.8790784884310533,5
adult,low,logistic_regression,ctgan,0.5,0.8413856642712364,0.0029461737660185835,0.8382777470671334,0.8454026165468952,5,0.6332419537096137,0.001782355108370617,0.6305571187394485,0.6351601423487544,5,0.8776480402199601,0.0032765322606124626,0.8723513387660556,0.8808474791745992,5
