dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,svm,ctgan,0.75,0.850586573306308,0.001975341491396328,0.8484122596892083,0.853510226644555,5,0.6366896307110629,0.009225544295191701,0.6268521318415482,0.6484893146647015,5,0.8999862164168915,0.00042764978054927875,0.8995340826902076,0.9006472345745459,5
adult,full,svm,llm_constrained,1.0,0.8504760149867945,0.001210326713863312,0.8485351022664456,0.8517904305632332,5,0.6565989793998717,0.0033801793092587953,0.6509060022650056,0.6591707659873507,5,0.8994376770647827,0.0013959430008916845,0.8979900683763579,0.901075221939316,5
adult,full,svm,llm_sample,1.0,0.8504760149867945,0.001210326713863312,0.8485351022664456,0.8517904305632332,5,0.6565989793998717,0.0033801793092587953,0.6509060022650056,0.6591707659873507,5,0.8994376770647827,0.0013959430008916845,0.8979900683763579,0.901075221939316,5
adult,low,svm,ctgan,0.5,0.8432283029297954,0.002454393463544969,0.8398747005712179,0.8458939868558443,5,0.6390029719890664,0.002382151877640742,0.6352667538886466,0.6407381121362669,5,0.8824654066982944,0.001797785885841228,0.8794142646284862,0.8837341696321652,5
adult,low,svm,llm_constrained,1.0,0.831730237700387,5.493687064677006e-05,0.8317056691849395,0.8318285117621768,5,0.6432626769123904,7.493118738094167e-05,0.6432291666666666,0.6433967178952852,5,0.8736753468530377,7.314901699715081e-06,0.8736635705878577,0.8736817619065841,5
adult,low,svm,llm_sample,0.5,0.8340273938947238,0.0028114584297417276,0.8296787666605245,0.8372950064492353,5,0.6109755585124121,0.011800036489051195,0.602634305165014,0.6316228619107217,5,0.8739643232693523,0.0026222654770609883,0.869442065981795,0.8759995868270596,5
credit,full,svm,ctgan,0.75,0.8026666666666668,0.004403281604540967,0.7975,0.8083333333333333,5,0.3048859731019851,0.047440324028660996,0.2363293526084224,0.3524774774774775,5,0.7056671662040316,0.002312383836761529,0.703095803934514,0.7079341616956167,5
credit,full,svm,llm_constrained,1.0,0.8024666666666667,0.0022154758706276526,0.799,0.8041666666666667,5,0.28756977518232985,0.02880551520227049,0.24906600249066,0.318287037037037,5,0.7043651653077347,0.002035084455213934,0.7014396384108488,0.706755010545759,5
credit,full,svm,llm_sample,1.0,0.8024666666666667,0.0022154758706276526,0.799,0.8041666666666667,5,0.28756977518232985,0.02880551520227049,0.24906600249066,0.318287037037037,5,0.7043651653077347,0.002035084455213934,0.7014396384108488,0.706755010545759,5
credit,low,svm,ctgan,0.25,0.7957,0.004495985863955634,0.7885,0.8005,5,0.38124636310340815,0.024830557252962678,0.3452317527970165,0.4062196307094266,5,0.6977373102162513,0.001555461268846459,0.696416635126416,0.7001456683853483,5
credit,low,svm,llm_constrained,1.0,0.7958333333333333,0.0,0.7958333333333333,0.7958333333333333,5,0.3669250645994832,0.0,0.3669250645994832,0.3669250645994832,5,0.6929530398861745,8.222804598257309e-07,0.6929522335738456,0.6929540074609692,5
credit,low,svm,llm_sample,1.0,0.7958333333333333,0.0,0.7958333333333333,0.7958333333333333,5,0.3669250645994832,0.0,0.3669250645994832,0.3669250645994832,5,0.6929530398861745,8.222804598257309e-07,0.6929522335738456,0.6929540074609692,5
heart,full,svm,ctgan,1.0,0.8852459016393442,0.0,0.8852459016393442,0.8852459016393442,5,0.8813559322033898,0.0,0.8813559322033898,0.8813559322033898,5,0.9556277056277056,0.0,0.9556277056277056,0.9556277056277056,5
heart,full,svm,llm_constrained,0.25,0.9049180327868853,0.017958116639513664,0.8852459016393442,0.9344262295081968,5,0.8972055530676221,0.021105849470263994,0.8727272727272727,0.9310344827586208,5,0.9748917748917748,0.0014110827716888696,0.972943722943723,0.9761904761904762,5
heart,full,svm,llm_sample,0.5,0.8950819672131148,0.008979058319756891,0.8852459016393442,0.9016393442622952,5,0.8904734073641146,0.008323078021703295,0.8813559322033898,0.896551724137931,5,0.9595238095238097,0.00249152909809976,0.9567099567099568,0.9632034632034632,5
heart,low,svm,ctgan,0.75,0.7114754098360656,0.03774053912531589,0.6557377049180327,0.7540983606557377,5,0.6676117067516663,0.0528962213911223,0.5882352941176471,0.7142857142857143,5,0.8222943722943723,0.02298860267939698,0.7943722943722944,0.8571428571428572,5
heart,low,svm,llm_constrained,0.0,0.8622950819672133,0.07386151033487745,0.7377049180327869,0.918032786885246,5,0.8551091157907379,0.0714151382916918,0.7333333333333333,0.912280701754386,5,0.9326839826839827,0.052096648941596456,0.8441558441558442,0.9772727272727272,5
heart,low,svm,llm_sample,0.0,0.862295081967213,0.01869140041146126,0.8360655737704918,0.8852459016393442,5,0.8488880595777146,0.020382057648083724,0.8214285714285714,0.8727272727272727,5,0.944155844155844,0.004501436004996866,0.9393939393939392,0.949134199134199,5
