dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,xgboost,ctgan,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
adult,full,xgboost,llm_constrained,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
adult,full,xgboost,llm_sample,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
adult,low,xgboost,ctgan,0.5,0.8417419077452244,0.0019934023494638984,0.8387691173760825,0.843928505620048,5,0.5939709488095148,0.007820756643825354,0.5840595785137063,0.6035686578743211,5,0.8914460739265919,0.0020706445307336783,0.8890894847695796,0.894478798854407,5
adult,low,xgboost,llm_constrained,0.75,0.8440513481972852,0.002532092157708263,0.8398747005712179,0.846446778453412,5,0.61099565428585,0.009716958580861785,0.5994776463358427,0.6216499475969457,5,0.8923173690920294,0.0028505590856118994,0.8879679690605397,0.8958339789160523,5
adult,low,xgboost,llm_sample,0.5,0.8404152079110621,0.002158676507486187,0.8390762238191757,0.8442356120631411,5,0.5747254554649012,0.013833141418509703,0.5578093306288032,0.5914948453608248,5,0.8947795410811207,0.002382637310728339,0.891035548136843,0.8973860120468349,5
credit,full,xgboost,ctgan,1.0,0.8140000000000001,0.0017440374613713686,0.8115,0.8161666666666667,5,0.41226448876504485,0.021475451593136907,0.392914653784219,0.4375318714941356,5,0.7695525337477994,0.0013023448601955988,0.7676999666670483,0.7710234248245181,5
credit,full,xgboost,llm_constrained,1.0,0.8140000000000001,0.0017440374613713686,0.8115,0.8161666666666667,5,0.41226448876504485,0.021475451593136907,0.392914653784219,0.4375318714941356,5,0.7695525337477994,0.0013023448601955988,0.7676999666670483,0.7710234248245181,5
credit,full,xgboost,llm_sample,1.0,0.8140000000000001,0.0017440374613713686,0.8115,0.8161666666666667,5,0.41226448876504485,0.021475451593136907,0.392914653784219,0.4375318714941356,5,0.7695525337477994,0.0013023448601955988,0.7676999666670483,0.7710234248245181,5
credit,low,xgboost,ctgan,0.5,0.8073333333333335,0.0019400744544704762,0.8046666666666666,0.8096666666666666,5,0.3742696004078149,0.01845620693037367,0.3535297387437465,0.3904761904761905,5,0.7557294377051964,0.003526447462762897,0.7510705811947646,0.7598298745490899,5
credit,low,xgboost,llm_constrained,0.5,0.8031666666666666,0.004461252938108073,0.7958333333333333,0.8076666666666666,5,0.3340491313962772,0.04521848181173302,0.2677824267782426,0.3762162162162162,5,0.7516757185976423,0.007236967539709201,0.7390474967953117,0.7575781667392616,5
credit,low,xgboost,llm_sample,1.0,0.8,0.0033809104625168083,0.7968333333333333,0.8053333333333333,5,0.34272948365399175,0.022567787301288243,0.3130733944954128,0.3693304535637149,5,0.746776581013183,0.0032118482331033944,0.7429089265386576,0.7516694293614765,5
heart,full,xgboost,ctgan,0.5,0.8819672131147541,0.013715738139902924,0.8688524590163934,0.9016393442622952,5,0.8750151240169389,0.014217219483187547,0.8620689655172413,0.896551724137931,5,0.9534632034632035,0.008312928298559116,0.9437229437229436,0.9664502164502164,5
heart,full,xgboost,llm_constrained,0.5,0.898360655737705,0.031533416494543214,0.8524590163934426,0.9344262295081968,5,0.8890704032809296,0.033347838579045504,0.8421052631578947,0.9285714285714286,5,0.9597402597402598,0.006775963568181195,0.9523809523809524,0.9707792207792209,5
heart,full,xgboost,llm_sample,0.5,0.8918032786885247,0.008979058319756867,0.8852459016393442,0.9016393442622952,5,0.884043337183083,0.011563169147798265,0.8727272727272727,0.896551724137931,5,0.9603896103896105,0.006198190936483318,0.9523809523809524,0.9675324675324676,5
heart,low,xgboost,ctgan,0.5,0.8426229508196721,0.027431476279805737,0.819672131147541,0.8852459016393442,5,0.8216438898791839,0.03440500816893102,0.7843137254901961,0.8727272727272727,5,0.9292207792207792,0.01751107668413936,0.9069264069264068,0.9523809523809524,5
heart,low,xgboost,llm_constrained,0.25,0.878688524590164,0.029780167417352486,0.8524590163934426,0.918032786885246,5,0.867432637243958,0.03135097766934882,0.8301886792452831,0.9090909090909092,5,0.9551948051948053,0.014811427512660583,0.9426406926406928,0.972943722943723,5
heart,low,xgboost,llm_sample,0.75,0.8655737704918034,0.03913880782397813,0.8032786885245902,0.9016393442622952,5,0.8496969696969696,0.04457281735926175,0.7777777777777778,0.8888888888888888,5,0.940909090909091,0.01545005815995056,0.9177489177489178,0.9588744588744588,5
