dataset,regime,model,ratio,method,auc_mean,rank
adult,full,xgboost,0.0,llm_sample,0.893306405999706,1.0
adult,full,xgboost,0.0,ctgan,0.885420003048614,2.0
adult,full,xgboost,0.0,llm_constrained,0.8616743352484402,3.0
adult,full,xgboost,0.25,llm_sample,0.9017670294266535,1.0
adult,full,xgboost,0.25,ctgan,0.8970213513807943,2.0
adult,full,xgboost,0.25,llm_constrained,0.8908657938597399,3.0
adult,full,xgboost,0.5,llm_sample,0.9056218890492653,1.0
adult,full,xgboost,0.5,ctgan,0.9035791440503619,2.0
adult,full,xgboost,0.5,llm_constrained,0.9021340549641286,3.0
adult,full,xgboost,0.75,llm_sample,0.9092369766362831,1.0
adult,full,xgboost,0.75,llm_constrained,0.9084835152151562,2.0
adult,full,xgboost,0.75,ctgan,0.9077439440159031,3.0
adult,full,xgboost,1.0,ctgan,0.9106579235425146,1.0
adult,full,xgboost,1.0,llm_constrained,0.9106579235425146,1.0
adult,full,xgboost,1.0,llm_sample,0.9106579235425146,1.0
adult,low,xgboost,0.0,ctgan,0.8787991701413131,1.0
adult,low,xgboost,0.0,llm_sample,0.8759664514445475,2.0
adult,low,xgboost,0.0,llm_constrained,0.8481242513070043,3.0
adult,low,xgboost,0.25,llm_sample,0.8854460333620422,1.0
adult,low,xgboost,0.25,ctgan,0.8847648688416374,2.0
adult,low,xgboost,0.25,llm_constrained,0.8753105373109176,3.0
adult,low,xgboost,0.5,llm_sample,0.8947795410811207,1.0
adult,low,xgboost,0.5,ctgan,0.8914460739265919,2.0
adult,low,xgboost,0.5,llm_constrained,0.8891026097014929,3.0
adult,low,xgboost,0.75,llm_sample,0.8923825776513168,1.0
adult,low,xgboost,0.75,llm_constrained,0.8923173690920294,2.0
adult,low,xgboost,0.75,ctgan,0.8887149401536979,3.0
adult,low,xgboost,1.0,ctgan,0.8872570063236788,1.0
adult,low,xgboost,1.0,llm_constrained,0.8872570063236788,1.0
adult,low,xgboost,1.0,llm_sample,0.8872570063236788,1.0
credit,full,xgboost,0.0,ctgan,0.7364901643603178,1.0
credit,full,xgboost,0.0,llm_constrained,0.7112957422999995,2.0
credit,full,xgboost,0.0,llm_sample,0.7000464435901476,3.0
credit,full,xgboost,0.25,ctgan,0.7627928304642859,1.0
credit,full,xgboost,0.25,llm_constrained,0.7504763290083277,2.0
credit,full,xgboost,0.25,llm_sample,0.7217405993255036,3.0
credit,full,xgboost,0.5,ctgan,0.7648200770479809,1.0
credit,full,xgboost,0.5,llm_constrained,0.7602769747354932,2.0
credit,full,xgboost,0.5,llm_sample,0.7466129963678855,3.0
credit,full,xgboost,0.75,ctgan,0.7655484512272155,1.0
credit,full,xgboost,0.75,llm_constrained,0.7642225996122283,2.0
credit,full,xgboost,0.75,llm_sample,0.7610176532408676,3.0
credit,full,xgboost,1.0,ctgan,0.7695525337477994,1.0
credit,full,xgboost,1.0,llm_constrained,0.7695525337477994,1.0
credit,full,xgboost,1.0,llm_sample,0.7695525337477994,1.0
credit,low,xgboost,0.0,ctgan,0.7326287346169718,1.0
credit,low,xgboost,0.0,llm_constrained,0.6997505753441623,2.0
credit,low,xgboost,0.0,llm_sample,0.6937006042988381,3.0
credit,low,xgboost,0.25,ctgan,0.7479206091979917,1.0
credit,low,xgboost,0.25,llm_constrained,0.7449894381148031,2.0
credit,low,xgboost,0.25,llm_sample,0.705126646671196,3.0
credit,low,xgboost,0.5,ctgan,0.7557294377051964,1.0
credit,low,xgboost,0.5,llm_constrained,0.7516757185976423,2.0
credit,low,xgboost,0.5,llm_sample,0.7427386172485366,3.0
credit,low,xgboost,0.75,ctgan,0.750649234624148,1.0
credit,low,xgboost,0.75,llm_constrained,0.7470357297957079,2.0
credit,low,xgboost,0.75,llm_sample,0.7436921299562609,3.0
credit,low,xgboost,1.0,ctgan,0.746776581013183,1.0
credit,low,xgboost,1.0,llm_constrained,0.746776581013183,1.0
credit,low,xgboost,1.0,llm_sample,0.746776581013183,1.0
heart,full,xgboost,0.0,llm_sample,0.9457792207792208,1.0
heart,full,xgboost,0.0,llm_constrained,0.9436147186147187,2.0
heart,full,xgboost,0.0,ctgan,0.39675324675324675,3.0
heart,full,xgboost,0.25,llm_constrained,0.9596320346320347,1.0
heart,full,xgboost,0.25,llm_sample,0.9567099567099568,2.0
heart,full,xgboost,0.25,ctgan,0.9454545454545455,3.0
heart,full,xgboost,0.5,llm_sample,0.9603896103896105,1.0
heart,full,xgboost,0.5,llm_constrained,0.9597402597402598,2.0
heart,full,xgboost,0.5,ctgan,0.9534632034632035,3.0
heart,full,xgboost,0.75,llm_constrained,0.956060606060606,1.0
heart,full,xgboost,0.75,llm_sample,0.9556277056277057,2.0
heart,full,xgboost,0.75,ctgan,0.9519480519480519,3.0
heart,full,xgboost,1.0,ctgan,0.95,1.0
heart,full,xgboost,1.0,llm_constrained,0.95,1.0
heart,full,xgboost,1.0,llm_sample,0.95,1.0
heart,low,xgboost,0.0,llm_constrained,0.9348484848484849,1.0
heart,low,xgboost,0.0,llm_sample,0.8378787878787879,2.0
heart,low,xgboost,0.0,ctgan,0.4887445887445887,3.0
heart,low,xgboost,0.25,llm_constrained,0.9551948051948053,1.0
heart,low,xgboost,0.25,llm_sample,0.930952380952381,2.0
heart,low,xgboost,0.25,ctgan,0.7583333333333333,3.0
