age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,__target__
31,Private,204442,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,6,0,40,United-States,0
36,Private,246348,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,-9,0,40,United-States,0
34,Private,389933,Assoc-acdm,13,Married-civ-spouse,Protective-serv,Husband,White,Male,9,0,40,United-States,0
33,Federal-gov,208023,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,17,1,40,United-States,0
21,Private,643519,Some-college,10,Never-married,Tech-support,Own-child,White,Female,1,1,31,United-States,0
53,Private,210150,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,19,0,40,Mexico,0
27,Private,120736,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,4,0,40,United-States,0
39,Private,183547,Some-college,9,Divorced,Other-service,Not-in-family,White,Female,7,-1,40,United-States,0
46,Private,255767,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,12,0,40,United-States,0
43,Private,201558,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,3,0,31,United-States,0
61,Local-gov,228382,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,34,0,60,United-States,1
33,Private,102049,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,9,1,40,Philippines,0
29,Private,129615,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,10,1,58,United-States,0
34,Private,220923,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,18,-1,40,Laos,0
43,Private,165587,10th,6,Married-civ-spouse,Protective-serv,Husband,White,Male,-9,0,40,United-States,0
48,Private,200815,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,20,1,40,United-States,0
25,Private,304648,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,31,0,31,United-States,0
36,Private,172066,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-6,0,40,United-States,1
56,Private,223572,7th-8th,3,Married-civ-spouse,Other-service,Wife,Black,Female,15,-1,40,Puerto-Rico,0
50,Self-emp-inc,61039,Doctorate,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,4475,2047,58,England,0
32,Private,249750,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-3,0,49,United-States,0
56,Private,261118,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,25,1,40,United-States,0
40,Private,43742,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,11,-1,40,United-States,0
21,?,198469,Some-college,10,Never-married,?,Not-in-family,White,Male,2,0,40,United-States,0
44,State-gov,196350,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,-10,0,49,Honduras,1
28,Private,150192,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,18,0,40,El-Salvador,0
30,Local-gov,224019,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,19,0,50,United-States,0
32,Private,444325,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,16,0,50,Mexico,1
34,Private,185764,Assoc-voc,7,Married-civ-spouse,?,Wife,Black,Female,7,0,13,United-States,0
32,Private,222972,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2,1,58,United-States,0
40,Private,250258,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,-11,0,40,United-States,0
52,Private,204885,Preschool,1,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,2,0,40,El-Salvador,0
45,Without-pay,200912,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7,0,30,United-States,0
44,Private,652660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,4,-1,40,United-States,1
22,Private,234816,11th,7,Divorced,Tech-support,Unmarried,Other,Female,-4,0,40,England,0
39,State-gov,334017,Assoc-acdm,13,Married-civ-spouse,Armed-Forces,Husband,White,Male,4009,2196,40,United-States,0
38,Private,266195,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,2,-1,30,United-States,0
39,Private,111593,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Male,31,0,40,United-States,0
34,Private,204075,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,8,0,40,United-States,0
33,State-gov,256851,HS-grad,13,Never-married,Exec-managerial,Not-in-family,White,Male,24,0,40,United-States,0
42,Private,130982,7th-8th,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,23,0,40,Haiti,0
55,Local-gov,257911,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,15358,-1,60,United-States,1
33,Private,183997,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,33,0,40,South,0
27,Private,226432,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,2,0,40,Yugoslavia,0
28,Private,180927,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,20,0,50,United-States,0
21,Private,74082,12th,8,Never-married,Handlers-cleaners,Own-child,Black,Male,18,-2,14,United-States,0
24,State-gov,181177,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,13,1,51,Germany,1
32,Private,149659,Bachelors,13,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,27,-1,40,United-States,0
56,Self-emp-not-inc,145964,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,26,1857,56,United-States,0
25,Private,293349,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Male,13,0,40,United-States,1
53,Private,103314,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,49,United-States,0
28,Private,290168,HS-grad,4,Married-civ-spouse,Other-service,Wife,White,Female,8,0,13,Ecuador,0
27,Self-emp-inc,175625,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7967,0,56,United-States,0
26,Private,187887,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,-6,0,37,United-States,0
31,?,453677,HS-grad,9,Married-civ-spouse,?,Other-relative,White,Male,-15,0,40,United-States,0
39,Private,224676,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
41,Private,130677,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,29,1,50,United-States,0
61,?,106104,Some-college,10,Never-married,?,Not-in-family,White,Male,20,0,11,United-States,0
20,Private,189195,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,-25,0,40,United-States,0
47,Private,140744,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,22,1,45,United-States,1
20,Private,198512,HS-grad,9,Married-civ-spouse,?,Other-relative,White,Male,-12,1799,40,United-States,0
33,Private,296112,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,13,0,36,United-States,0
44,Self-emp-not-inc,260608,HS-grad,9,Widowed,Tech-support,Not-in-family,White,Male,12,0,50,United-States,0
39,Private,266374,Masters,14,Married-civ-spouse,Adm-clerical,Wife,Black,Female,7833,0,40,United-States,1
67,Private,216335,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-12,0,50,United-States,0
23,Federal-gov,289526,Some-college,10,Never-married,Prof-specialty,Husband,White,Male,8047,0,58,United-States,0
31,Private,191702,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,1,40,United-States,1
48,Self-emp-inc,103523,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,35,0,55,United-States,1
41,Private,206564,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,-15,0,44,United-States,0
40,?,148891,HS-grad,9,Married-civ-spouse,?,Husband,Black,Male,-13,0,40,?,0
30,Self-emp-not-inc,199238,Bachelors,13,Never-married,Protective-serv,Own-child,White,Male,7,0,40,United-States,0
33,Self-emp-inc,249475,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7903,1867,72,United-States,0
48,Private,263793,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,22,0,56,India,0
43,Self-emp-not-inc,221430,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,16,0,64,United-States,0
43,State-gov,117433,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,19,1,40,United-States,0
62,Self-emp-inc,242114,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,12,0,45,United-States,0
28,Private,592292,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,1,1,30,United-States,1
64,Private,250332,5th-6th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,-5,0,40,Guatemala,0
21,State-gov,57967,Some-college,10,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,18,0,10,United-States,0
43,Local-gov,290688,HS-grad,9,Never-married,Protective-serv,Not-in-family,Black,Female,3,0,40,United-States,0
43,Private,359237,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,30,0,50,United-States,1
35,Local-gov,244557,Some-college,10,Divorced,Sales,Unmarried,White,Male,17,0,13,United-States,0
20,Private,174376,5th-6th,4,Never-married,Machine-op-inspct,Own-child,White,Male,10,0,6,United-States,0
41,Federal-gov,184376,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,16,0,40,United-States,0
18,Private,291336,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,23,0,40,United-States,0
34,Private,114497,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,39,0,40,United-States,0
47,State-gov,108193,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,-5,0,40,United-States,1
26,Private,158720,Doctorate,4,Never-married,Prof-specialty,Not-in-family,Other,Female,-3,0,40,Outlying-US(Guam-USVI-etc),0
32,Federal-gov,223066,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,16,0,40,United-States,0
32,Private,283173,Bachelors,9,Married-AF-spouse,Adm-clerical,Not-in-family,White,Female,13,1780,40,United-States,1
34,?,221122,Some-college,13,Married-civ-spouse,Sales,Husband,White,Male,7545,0,40,United-States,0
38,Self-emp-inc,282594,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,42,-1,62,Germany,1
17,Local-gov,215002,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,9,1,31,United-States,0
57,Private,134895,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,15,0,40,United-States,0
28,Self-emp-not-inc,298942,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,Black,Male,-4,0,45,Puerto-Rico,0
