LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,__target__
396644,2,6,2,33,-2,-2,-2,-2,-2,-2,1375,-1079,751,1657,-1156,2962,2201,1620,195,869,74686,19301,0
29146,2,2,2,24,0,0,0,0,0,0,46719,58570,57753,12180,4509,21283,3617,2224,504,1533,1232,89,0
500103,2,1,1,37,-1,-2,-1,-1,-1,-1,267,5207,3057,3029,788,2037,227,5114,10186,39649,1629,1776,0
354889,1,2,1,54,1,-2,-1,-2,-2,-2,62503,63445,11370,12592,876,21056,-212,18462,876,255,1901,35,0
49151,1,3,3,41,0,0,0,0,0,0,62973,51920,34472,2067,14770,9584,1207,1664,1271,-75,1268,-113,0
47303,1,3,1,58,0,0,0,0,0,0,14846,17326,17002,4358,11333,17542,478,1899,1405,7204,3765,55,0
86718,2,3,1,49,-2,-2,-2,-2,-2,-2,3545,5949,1492,-190,1148,670,3105,1909,606,301,1743,1581,0
110062,2,3,1,27,0,0,0,0,0,0,176220,131181,93779,101248,134939,104713,14058,10909,5511,3554,3131,1328,0
187346,2,2,1,52,1,2,2,0,0,-1,3047,2789,976,9717,2814,498,182,176,498,2368,1331,385,1
28710,1,2,1,29,0,0,0,2,0,0,31769,19504,10833,8467,27916,20945,2060,844,1971,4455,3431,2692,1
195175,1,1,1,46,1,-2,3,-1,0,-1,987,12456,11319,36230,30194,1978,1003,947,-494,7185,2289,1649,0
27813,2,2,2,33,0,0,0,2,0,0,10810,46204,11402,8742,5160,4692,1562,2436,702,550,1605,325,0
344988,2,2,2,31,-1,-1,-1,-1,-1,-1,205,1281,10828,9308,17106,16090,6606,9983,18254,20605,71133,10297,1
258762,2,5,1,35,1,0,0,-1,0,0,91933,325890,100982,406557,138253,98952,6878,22391,1801,6602,15577,103691,0
51676,2,2,2,23,0,0,0,0,0,0,27283,59547,49402,28831,17985,23637,2601,1439,332,984,6014,82,0
20930,1,1,2,38,2,0,2,0,0,0,9365,13212,19274,11649,23709,25318,4517,284,631,14,1383,-13,1
231988,1,1,1,30,-1,-1,-1,-1,-2,-2,15606,61947,1118,899,1628,1587,3257,724,38,122,-276,100,1
101785,1,2,1,36,0,0,0,0,0,0,35201,62654,57113,40401,45763,75366,13770,3464,652,4549,1803,4402,0
31047,2,1,2,23,0,0,0,0,0,0,35788,99181,35976,9398,6016,11309,4175,1066,308,75,59,-70,0
26706,1,3,0,40,0,0,0,0,2,0,17561,15014,17059,23588,22456,8473,1062,1682,644,809,4291,565,0
208001,2,1,1,28,0,0,0,0,0,0,72767,79473,76026,105914,64500,10264,5759,980,2624,551,70,133,0
128622,2,2,2,23,0,0,0,0,0,0,22974,133623,127137,5069,26700,875,4093,847,1215,3094,1015,125,0
173483,2,2,1,33,1,2,0,0,0,2,59569,239412,52648,69574,82630,80690,3816,3064,2382,1206,3927,2058,0
398950,1,2,2,32,0,0,0,0,0,0,106694,134529,132382,113246,137454,121416,10194,11014,1892,4197,2957,3332,0
85114,1,1,1,45,0,0,0,0,0,0,71762,100090,37464,84382,60217,88475,3579,1722,3933,9429,2963,1653,0
204301,1,0,1,34,0,0,0,-1,-1,-1,21879,11890,14116,10833,3037,15107,1709,3862,1517,8661,61,-133,0
233715,1,1,1,30,-2,-1,-2,-1,-1,-1,12904,7388,17467,11488,21852,23991,3029,25731,20146,44850,24864,13477,0
202324,1,1,2,34,0,-2,-2,-1,-2,-2,8085,8228,28247,13660,12837,2230,25546,20121,7487,14378,30666,4734,0
489824,2,1,1,31,-2,-2,-2,-2,-2,-2,9437,11228,21457,13728,3366,7965,1826,1676,-25,8010,1360,4175,0
173080,2,3,2,33,0,0,0,0,0,0,15665,64733,71550,34731,92269,106254,3158,2218,733,3146,1305,2308,0
196877,2,0,2,32,-2,-2,-2,-2,-2,-2,3573,1433,4198,1179,2377,1443,2333,2750,1255,1007,26562,7918,0
21184,1,2,1,41,-1,-1,0,0,0,-1,6771,-180,12790,8084,4472,3809,1457,1313,502,-76,227,533,0
56154,2,2,1,25,2,0,0,0,0,0,35001,47257,43960,31003,41111,50022,1604,1609,1297,2343,1210,2513,1
432780,1,3,1,49,-1,2,-1,0,0,-2,2499,14555,1419,2392,394,772,768,259,1976,-3,1341,366,1
202168,2,1,1,31,-1,-1,-1,-1,-1,-1,216,-685,21707,5325,911,-662,-17,2546,132803,77026,1001,2992,1
292213,2,2,1,36,1,-1,-2,-2,-2,-2,902,9347,1505,709,601,427,2113,552,-19,-332,213,144,1
118823,2,1,2,37,-2,-2,-2,-2,-2,-2,74971,76628,90335,19424,-850,-117,27531,2398,929,5934,1108,313,0
80964,2,2,1,25,2,3,2,2,2,2,69616,57937,21744,36300,31505,96843,3029,1740,-323,1369,2568,-208,1
296551,1,0,1,30,1,-2,-2,-1,-1,-1,50,2639,-152,1311,-329,224,1011,490,345,8779,475,459,0
295923,2,4,1,34,-2,-2,-2,-2,-2,-2,16246,16577,3331,2661,912,1246,27744,1223,-518,5998,169,20467,0
171218,2,3,0,31,-2,-2,-2,-2,-2,-2,47936,14852,27835,43096,16243,43894,3232,2053,19145,30657,73088,312,0
369389,1,2,1,28,-1,-1,-1,-1,-1,-1,510,86,1258,1343,-101,2981,-1136,1222,858,2598,2167,112,0
28146,2,2,1,31,0,0,0,0,-1,0,25452,30542,12581,11795,13538,9526,6177,1826,1925,2306,1299,644,0
64749,1,3,0,46,2,2,2,2,2,0,79032,55310,66851,29539,39510,46508,567,4607,4107,1825,1722,1132,1
602380,1,1,1,34,-1,-1,-1,-1,-1,-1,7249,9759,15341,4336,35483,10163,7306,21391,3001,10476,38356,-389,0
236389,1,1,2,32,-1,-1,-1,-1,-1,-1,850,1116,2245,1331,2014,99,-461,842,750,255,597,577,0
82423,1,2,2,38,0,0,0,2,-2,-2,44765,12216,15793,6821,-699,-6,54376,1536,1135,280,168,7113,0
140452,1,2,1,35,0,0,0,0,0,0,68084,62802,105666,117495,163275,185465,3648,7394,8524,-39,3808,15669,0
267599,1,2,1,38,-1,-1,-1,-1,0,0,-3355,3382,4265,7929,22615,29719,-206,1394,747,6587,1128,179,1
639720,1,2,2,37,2,0,0,0,0,2,55750,107909,115938,142536,158312,125375,5098,15139,1429,4481,551,6559,1
246343,2,1,1,33,0,0,0,0,0,0,260036,482728,434437,315544,223727,384832,10295,20489,18779,8030,24108,4488,0
118350,1,2,2,26,1,2,2,0,0,0,14421,16060,37063,11920,17466,15913,9069,398,1316,761,5335,14049,1
192689,2,1,2,31,0,0,0,0,0,0,9525,23131,28280,8545,14593,36195,6908,9219,394,8149,437,1351,0
251278,1,2,1,31,-1,-1,-1,-1,-1,-1,1540,754,335,789,-1036,712,-1101,1930,-129,625,1460,3018,0
140354,1,2,2,27,2,2,2,2,2,0,-411,6778,5281,90499,34137,189410,4169,927,1618,5348,5440,2171,1
164296,2,1,0,36,-1,-1,-1,0,0,0,4066,8678,45186,616,21366,9479,1328,88153,3538,9890,1205,2188,0
231243,1,1,1,24,0,0,0,0,0,0,197978,173944,75791,109335,113991,99634,13180,2933,3583,2396,2374,5748,0
25294,2,3,2,23,1,0,0,0,0,0,10115,6946,14936,12377,17595,-117,1835,633,2591,-169,5368,248,0
18936,1,6,1,34,1,-2,-2,-2,-2,-2,1150,1333,330,7479,-800,1335,1018,1036,-370,181,1411,143,0
116768,2,2,1,36,2,0,0,0,0,0,120130,50141,73659,57430,34937,38401,9134,459,982,2684,1614,1081,1
96222,1,2,2,36,1,-1,2,0,0,3,386,16043,10583,1135,145,1205,2078,1418,485,2413,1661,50,0
