age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26,Private,41222,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,48,United-States,<=50K
26,Federal-gov,139186,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,60,Honduras,<=50K
24,Private,178202,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
39,Self-emp-not-inc,187058,Some-college,10,Separated,Other-service,Not-in-family,Black,Male,0,0,40,United-States,>50K
47,Local-gov,223132,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
45,Private,393217,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,276480,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,43813,Some-college,10,Married-spouse-absent,Other-service,Other-relative,White,Female,0,0,40,United-States,<=50K
20,Private,82114,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
63,Private,87645,Doctorate,16,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Puerto-Rico,>50K
60,Private,353127,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,50,United-States,<=50K
37,State-gov,319896,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K
44,Private,127808,Masters,14,Married-civ-spouse,Craft-repair,Wife,White,Female,14947,0,50,United-States,>50K
35,Private,112443,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
26,Federal-gov,383894,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,Germany,<=50K
28,Private,141009,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
64,Private,120586,Doctorate,16,Widowed,Tech-support,Unmarried,Black,Female,0,0,41,India,<=50K
31,Self-emp-inc,193816,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
22,Private,118189,HS-grad,9,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,47,United-States,<=50K
47,Private,276660,7th-8th,4,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,<=50K
43,Private,118404,HS-grad,9,Divorced,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
62,Private,154988,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,199364,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,5194,0,40,United-States,<=50K
56,Self-emp-not-inc,113998,Some-college,10,Divorced,Transport-moving,Unmarried,White,Female,0,0,35,United-States,<=50K
28,Private,174970,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,<=50K
40,Local-gov,211307,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
35,Private,175126,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,38,United-States,<=50K
34,Self-emp-not-inc,271776,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,43,Philippines,<=50K
18,Private,305890,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,38,United-States,<=50K
26,Private,186729,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
39,Private,220239,11th,7,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
49,Private,134162,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,104420,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,35,United-States,<=50K
33,State-gov,15000,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K
30,Private,123258,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,47,United-States,<=50K
62,Private,217354,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
39,Private,87919,9th,5,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,210994,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,38,United-States,<=50K
68,Private,172569,7th-8th,4,Divorced,Farming-fishing,Unmarried,White,Female,0,0,25,United-States,<=50K
44,State-gov,226501,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,43,United-States,<=50K
46,Local-gov,245498,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,30,United-States,<=50K
56,Private,317395,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,55,United-States,<=50K
43,State-gov,317181,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
55,Private,275393,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
39,Private,217707,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,45,United-States,<=50K
50,Private,275962,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
44,Private,184158,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
23,Private,284904,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,50,United-States,<=50K
22,Private,323731,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,163976,12th,8,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Local-gov,214564,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
51,Private,240249,7th-8th,4,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,50,United-States,<=50K
41,Private,198098,Assoc-acdm,12,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,45,Puerto-Rico,>50K
47,Private,227753,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,>50K
61,Local-gov,255910,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Private,222716,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1920,50,United-States,>50K
28,Private,234070,Assoc-voc,11,Married-spouse-absent,Other-service,Other-relative,White,Male,0,0,35,United-States,<=50K
27,Federal-gov,201432,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Male,0,0,45,United-States,<=50K
21,Private,15000,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,1415,60,United-States,>50K
45,Self-emp-not-inc,57243,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Private,139943,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,247170,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,>50K
35,Private,340664,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,0,52,United-States,<=50K
55,Private,170323,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,<=50K
57,Local-gov,27298,5th-6th,3,Widowed,Handlers-cleaners,Other-relative,White,Male,0,2030,45,United-States,<=50K
31,Private,430045,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
68,Private,228804,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1571,38,United-States,<=50K
53,Private,167683,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,70,Cuba,<=50K
68,Self-emp-not-inc,299965,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,239811,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,43,United-States,<=50K
36,Private,251875,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,47,United-States,<=50K
36,Local-gov,136117,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,>50K
42,Private,118123,Assoc-voc,11,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,43,United-States,<=50K
33,Private,92693,Bachelors,13,Divorced,Other-service,Own-child,White,Male,0,1403,25,United-States,<=50K
36,Private,261046,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,United-States,<=50K
44,Private,221279,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,52,United-States,>50K
37,Federal-gov,121705,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Female,5950,0,25,United-States,<=50K
24,Self-emp-inc,45918,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Germany,<=50K
43,Private,229719,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,<=50K
29,Private,284962,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,321719,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,32,United-States,<=50K
48,Private,250585,9th,5,Married-civ-spouse,Transport-moving,Wife,Black,Female,0,0,40,Germany,<=50K
24,Private,267428,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,24,United-States,<=50K
33,Private,161651,9th,5,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,45,United-States,<=50K
45,Local-gov,231755,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,Puerto-Rico,>50K
42,Private,84293,Prof-school,15,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
37,Private,62600,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,<=50K
37,Private,302939,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,<=50K
48,Federal-gov,192647,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Mexico,>50K
31,Self-emp-inc,235351,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,60,Philippines,>50K
49,Private,244551,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
59,Private,143493,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
