age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
46,Private,179284,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
51,Private,152575,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,20,United-States,<=50K
41,Private,205180,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,55,United-States,>50K
60,Private,157432,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,43,El-Salvador,<=50K
37,Private,283652,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
24,Federal-gov,253188,Assoc-acdm,12,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,<=50K
39,Private,91936,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,13,United-States,<=50K
48,Private,396200,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,29,United-States,<=50K
26,State-gov,241673,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,27,United-States,<=50K
29,Federal-gov,335785,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,<=50K
24,Private,197942,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,18,United-States,<=50K
27,State-gov,105834,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,38,United-States,<=50K
25,Private,325881,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,46,United-States,<=50K
41,Private,90170,7th-8th,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
46,Private,272885,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,32,United-States,<=50K
31,Private,283990,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,7298,0,48,United-States,>50K
45,Local-gov,96354,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Female,0,0,28,United-States,<=50K
45,Self-emp-not-inc,321877,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
37,Private,270291,Some-college,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
35,Private,137651,10th,6,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
37,Private,299628,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
54,Private,382685,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,29,United-States,<=50K
49,Local-gov,337817,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Self-emp-inc,103113,9th,5,Never-married,Other-service,Not-in-family,White,Female,0,0,40,Mexico,<=50K
41,Local-gov,284217,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,28,United-States,>50K
36,Private,173592,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,>50K
40,Private,381023,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,United-States,<=50K
39,Private,117610,Some-college,10,Married-civ-spouse,Transport-moving,Wife,Black,Female,0,0,37,United-States,<=50K
21,Private,324851,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
45,Private,338235,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Male,0,0,55,United-States,<=50K
21,Self-emp-inc,305627,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,370209,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
48,Private,139413,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,44,United-States,<=50K
73,Private,201856,HS-grad,9,Never-married,Sales,Other-relative,White,Male,0,0,26,United-States,<=50K
