LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
130000,2,1,1,22,0,-1,-1,0,0,0,82143,81106,80740,82772,80016,-1253,3464,72754,78729,79038,5244,0,0
50000,1,2,2,22,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,226,0,0,225,0,0,0
210000,2,1,1,28,-1,-1,-1,-1,-1,-1,89753,85332,88594,86085,87411,89701,89432,85003,88251,77560,81714,81733,0
120000,2,2,1,24,0,0,0,0,0,0,50952,49264,47566,49209,48391,46913,12250,2433,2670,29209,2525,5990,0
440000,2,2,1,33,0,0,0,0,1,1,213895,218611,224204,215611,216943,204878,10346,239871,6360,47280,4075,0,0
70000,1,2,1,40,0,0,0,0,0,0,40957,40466,39664,38428,36921,0,8217,2008,3050,3207,1579,0,1
170000,2,2,2,37,1,2,5,5,4,5,129370,126838,123345,126204,126572,122894,5038,0,1376,912,0,3137,0
120000,2,2,2,40,0,0,-2,0,0,0,19314,19719,0,18513,16145,14621,1111,1019,0,562,687,2111,0
80000,2,1,2,46,0,1,2,1,1,1,19891,16910,16386,15558,17213,14488,1047,130,45,775,0,230,0
360000,2,1,2,24,0,0,0,0,-1,-1,94075,89830,85529,90597,85187,78857,15459,3289,5950,4300,75742,69992,0
140000,1,1,2,40,-1,-2,0,0,0,1,9301,7819,-891,12244,9439,7915,8670,0,0,582,839,234,0
190000,2,2,1,44,-2,0,0,-1,-1,0,101615,102571,98794,96782,100842,101474,0,2650,3889,87765,102393,12992,0
200000,2,1,1,26,0,0,-1,0,0,-1,141468,141707,141328,136503,136911,-975,5160,17033,127103,14915,6509,0,0
90000,2,2,2,29,0,0,1,0,0,0,20103,21876,21946,21290,18785,17501,2051,1120,1034,874,1908,1831,1
100000,1,2,1,44,0,-1,-1,0,0,0,-847,23313,21661,24001,23759,25420,0,22473,20555,1013,3458,1211,0
210000,2,2,1,39,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
270000,2,2,3,44,-2,-1,0,0,0,0,176735,177138,178302,173769,171219,174690,0,174183,132375,5757,9071,183278,0
70000,1,1,1,31,-1,-1,-1,-1,0,0,48424,46371,47028,45980,46099,45123,46580,44030,45146,42651,4612,1015,0
330000,2,2,2,55,-1,-1,-1,-1,-1,-1,120603,114685,108077,103321,99402,100709,116064,104396,103280,102060,96707,91186,1
60000,2,2,1,41,-1,-1,-1,-2,-2,-2,0,0,0,0,0,0,0,0,103,0,0,0,0
50000,1,2,1,24,-1,0,0,0,0,0,9449,9115,9938,8544,8045,9292,9344,648,338,372,550,885,0
550000,2,2,1,37,-2,0,0,-2,-2,-2,316241,308657,305434,305132,0,309507,0,16123,28776,0,115,0,0
420000,2,2,2,27,2,3,1,1,2,1,216484,213786,206027,208738,212100,214295,0,0,0,6610,0,0,1
400000,1,1,1,34,-1,0,0,0,0,0,135241,128429,123756,120202,128475,124977,130021,3962,1646,8220,11637,16490,0
10000,2,1,1,43,0,0,0,-1,-1,-1,5790,5596,5545,5556,5489,5523,628,216,906,4999,5024,5442,0
20000,1,1,2,49,-1,-1,-2,-2,-1,-1,12469,12085,0,11562,0,11008,11248,12261,0,0,0,10142,0
60000,1,2,2,22,0,0,0,0,0,0,29889,29188,29689,29807,28648,27949,29889,3350,498,784,1403,1716,0
110000,2,2,1,32,1,0,2,2,2,2,17883,18761,19863,21307,18606,17926,491,14602,380,304,407,0,1
90000,2,1,2,26,0,0,0,-1,-1,-1,36766,34843,33279,33761,31890,31148,4472,2321,1942,31661,29903,27953,0
120000,1,3,2,45,1,1,0,3,3,2,65348,65846,64154,63308,61190,59143,2733,0,9443,0,1880,0,1
420000,2,1,1,40,-2,-2,-2,-1,-2,-1,-1766,168638,159785,151544,146641,150249,0,0,0,147746,0,146192,0
230000,2,2,1,22,0,0,0,0,0,0,124057,128282,123221,120488,123678,120934,6858,9342,3013,84328,4668,9355,0
200000,2,1,1,29,-2,-2,-1,-1,-1,0,64188,0,63746,61315,60328,60229,0,0,63421,59440,57116,2350,0
60000,1,2,2,31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,2,3,2,33,-1,-1,0,0,0,0,22417,21707,23281,21971,22945,21514,21681,19727,7789,648,14813,13794,0
310000,2,2,1,32,0,0,0,0,0,0,90058,93978,90623,90623,90019,86075,5527,5486,10419,1460,5500,2497,0
70000,2,3,2,51,0,0,0,0,0,0,22397,22018,22739,20670,0,20153,473,876,3075,364,0,706,0
420000,1,2,2,36,1,2,0,0,0,-1,168199,170728,163530,164806,170367,160170,5588,2070,86156,66555,11095,143211,1
230000,2,3,1,42,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,1,2,2,22,0,0,0,0,0,0,13533,13133,12292,12883,13344,12446,670,322,1325,790,941,518,1
550000,2,1,1,25,1,2,2,1,0,0,378290,374197,373902,374300,379295,371590,12492,10968,0,4006,16013,15679,1
90000,1,1,1,24,0,0,0,1,1,1,43340,42885,42630,42138,42596,0,3342,4830,1737,0,2037,0,0
70000,2,2,1,26,0,0,0,0,0,0,42985,41760,0,40680,39737,40101,1617,4645,0,4480,2644,2625,0
550000,1,2,1,22,0,-1,0,1,2,2,204503,202574,193264,193756,190210,189483,6708,206604,10936,4080,3818,6631,1
310000,2,2,2,49,-2,0,1,0,0,0,28938,28080,29050,29925,0,25752,0,1777,1710,433,30,3962,0
60000,2,2,2,37,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,1,2,2,34,-1,-1,-2,-1,-1,-1,118634,116609,116337,114630,113949,111981,112618,113101,0,111447,107013,108752,0
140000,2,2,2,29,2,2,1,1,1,1,41397,42015,40541,38854,0,35946,0,1104,1794,901,270,0,1
