LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
100000,2,2,2,40,-1,1,1,0,-2,-2,57519,61207,58008,58195,284,0,57519,0,677,12941,0,0,0
210000,2,3,1,33,2,0,-2,0,-1,0,96199,93550,0,102958,108946,112541,1796,14815,0,18315,108946,6215,0
100000,2,2,1,31,0,2,2,2,1,2,41352,44509,45829,44664,46751,46858,7548,1368,4777,0,5445,3775,1
50000,2,3,1,46,2,2,-1,-1,0,0,0,0,47970,42437,39942,39554,0,0,47970,42437,2473,2096,1
250000,2,3,2,33,-2,1,1,3,2,-2,0,134304,122334,137222,126828,0,0,0,2417,9525,0,0,1
100000,1,2,1,38,0,0,2,-1,3,0,56442,60850,60086,61184,53031,57069,15475,6257,3182,61184,4131,15515,1
130000,2,1,1,24,1,1,1,0,0,-1,24931,22464,20237,20991,22881,21654,0,1655,890,1402,4819,21654,0
150000,2,1,1,35,0,0,0,0,0,0,83452,75010,71232,75599,85538,78538,9163,22372,18482,4638,3916,7542,0
100000,2,3,1,48,0,0,0,0,0,0,34631,34955,33757,37269,35148,34442,10080,2072,2954,3711,2589,9250,0
100000,2,1,1,38,0,1,0,-1,0,-1,16957,15082,15578,17346,16163,14791,1938,378,4106,17346,2074,14791,0
220000,1,1,2,40,2,2,0,0,0,0,113610,108789,106397,111572,120489,137593,4787,11711,5489,20093,21415,13608,0
170000,1,1,2,34,0,1,-1,2,0,-1,69193,69779,63366,63312,66424,71510,17927,0,63366,1103,2759,71510,1
180000,2,2,1,34,0,-1,-1,-1,-1,2,114422,107779,104850,116174,124991,119927,14650,107779,104850,116174,124991,10052,0
500000,2,3,1,34,0,0,0,0,0,-1,129518,123946,134791,129832,140035,147197,22747,8633,12110,27739,5063,147197,0
150000,2,3,2,41,1,0,0,-1,-1,-1,32778,33053,32317,36981,34029,33139,0,2540,3546,36981,34029,33139,0
70000,2,3,2,41,-1,-1,-1,0,0,0,39941,38304,34651,31295,32715,33861,39941,38304,34651,3517,2040,6162,0
80000,2,2,1,49,0,0,0,0,2,-1,61733,54912,53758,52865,54599,47413,16702,9674,12027,6845,0,47413,0
110000,1,2,1,30,-1,-1,0,0,0,0,44969,45467,40280,35636,32976,33176,44969,45467,9779,9985,4418,4908,0
180000,2,3,1,36,0,1,0,0,0,0,42933,37600,39304,36153,38679,42002,1686,593,8351,7742,1853,4349,0
30000,2,1,1,22,2,-1,0,0,0,0,26392,23748,25154,24386,23460,22618,816,23748,4907,3114,5081,5281,1
150000,2,2,1,39,1,1,0,0,1,0,31795,28669,29260,30421,29760,31558,3685,2218,6588,6016,3517,6671,0
80000,2,2,2,32,0,0,0,-1,0,0,51609,55529,54963,47116,46500,45167,4427,11794,9151,47116,5968,5170,1
120000,2,2,1,38,-1,0,0,0,0,0,25046,25568,26506,26763,26498,26036,25046,6017,5571,2286,7052,6464,0
160000,2,1,2,27,0,-1,-1,-1,1,0,0,0,0,0,74141,72148,1008,853,2411,452,2488,10552,0
60000,1,3,1,25,0,-1,0,0,0,-1,14204,13112,11730,10603,11386,11878,4254,13112,2235,2101,2631,11878,0
100000,1,1,1,33,0,-1,3,0,-1,0,64309,73008,72533,65793,75970,84821,17951,73008,0,6349,75970,4941,0
150000,2,2,2,31,2,0,-1,-1,0,0,75448,80638,90025,95518,80638,93656,7342,4639,90025,95518,15356,18585,1
150000,2,1,2,46,1,1,0,1,0,0,112344,122031,117378,104491,96873,91594,0,5454,33641,12297,11390,18515,0
50000,2,2,3,34,-1,-1,-1,-2,-2,-2,14534,15169,16335,0,0,0,14534,15169,16335,0,0,0,0
90000,1,1,1,36,-1,-1,-1,0,-1,0,0,0,24218,23126,21855,20857,1649,2347,24218,4824,21855,1142,0
90000,2,3,2,26,1,1,-1,1,0,1,35317,35879,39333,38293,37009,33172,3884,0,39333,0,3594,1832,0
170000,2,3,2,45,1,1,1,0,0,0,92941,94112,98181,90517,78404,83053,4428,0,0,5996,14141,5608,1
210000,2,2,2,39,-2,0,0,-1,-1,0,0,0,0,0,0,0,0,117,1959,2817,878,1633,0
50000,2,1,2,33,1,0,-1,-1,0,0,19027,16482,15513,13514,13329,13232,1671,1562,15513,13514,3963,2004,0
200000,2,1,1,37,-1,0,-2,-2,0,1,0,0,277,0,0,0,2893,1408,0,0,1490,0,0
210000,2,3,1,49,-1,0,1,0,-2,-2,112738,125918,108023,107863,123,0,112738,4595,12212,22577,0,0,0
140000,2,3,2,31,3,3,1,2,2,0,104511,101481,102262,106774,92080,90184,8498,3382,11457,8993,9360,19736,1
230000,2,1,2,38,0,0,0,0,0,0,73380,78625,78638,73400,74008,68563,8774,21836,17654,21998,9775,17848,0
200000,2,2,1,34,3,-2,-2,-1,0,0,83249,0,87,77594,75397,77046,4773,0,0,77594,15495,13213,1
100000,1,2,2,21,0,2,0,-2,-2,0,0,0,68142,0,239,73937,1633,0,10545,0,0,6128,1
220000,2,2,2,23,-2,-1,-1,-1,-2,2,0,140036,136809,140437,0,151942,0,140036,136809,140437,0,13176,0
100000,1,2,2,38,2,2,2,2,0,0,61498,56766,64990,70680,67301,61839,6581,5168,7394,3809,5262,14420,1
90000,1,1,1,31,0,-2,2,0,-1,-1,80615,49,78531,70666,79653,80261,11092,0,0,20394,79653,80261,1
80000,1,1,1,31,0,1,1,1,0,0,41918,41878,44482,40669,44101,45622,11189,4707,0,2144,6995,12978,0
170000,2,2,2,28,1,0,1,-2,-1,-2,0,0,0,0,25482,0,0,1113,0,0,25482,0,0
20000,1,1,2,43,-1,-1,0,0,-1,1,0,6447,6673,5644,5505,6058,2327,6447,1419,393,5505,0,1
170000,2,2,1,26,1,0,-1,-1,-1,0,0,86777,80059,75903,72743,67606,0,5116,80059,75903,72743,16342,0
