LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
120000,2,1,2,27,-1,0,0,0,0,0,-4082,-6000,7334,-623,-807,0,0,0,907,0,0,0,0
470000,2,2,1,28,0,0,2,2,0,2,268535,300695,228245,226046,269431,290410,8195,56794,7168,4663,90899,0,1
280000,1,3,1,34,0,0,0,0,-1,-2,135804,130792,119596,125287,135830,132927,0,121612,0,6725,3301,57425,0
220000,2,2,1,39,1,0,0,-1,0,0,52543,53866,34952,50075,41268,45230,6517,7447,30070,0,1166,541,0
50000,2,2,1,45,-2,-2,-2,-2,-2,-2,285,376,756,540,77,18,0,0,0,0,0,0,0
50000,1,2,1,28,0,2,0,-1,0,0,28280,28260,28618,27088,27009,23813,1333,1534,24182,3248,1043,10733,0
20000,2,2,2,50,-1,0,0,0,0,0,4000,4274,6770,8220,9398,9366,506,283,1565,547,375,8649,1
370000,2,2,2,33,-1,0,-1,-1,-2,-2,57916,58588,49042,45425,75199,74199,0,0,48103,49965,2445,62984,0
220000,2,1,2,36,0,0,-2,0,0,-2,80221,96589,100896,91216,88665,88937,0,0,5315,0,5472,9880,0
270000,2,2,2,29,-1,-1,-1,-1,-1,-1,140094,133633,141808,156633,156265,164828,126537,146614,129369,161056,146236,171092,0
10000,2,1,2,21,0,0,0,0,-2,0,6536,6567,5948,5437,5774,5447,1047,0,2866,186,378,552,0
510000,1,4,2,44,2,1,3,2,1,2,289650,251846,231162,252268,274157,247328,0,5048,0,8200,0,0,1
340000,2,3,2,43,-2,-2,-2,-2,-2,-2,662,2061,4340,2380,6313,446,0,0,0,0,0,0,0
70000,2,1,1,33,0,0,0,0,-2,0,47924,43241,44814,38251,36478,32760,1700,0,2251,920,2884,2360,0
60000,1,2,1,37,0,0,-2,0,0,0,33821,36159,35554,32194,33163,31986,4782,3729,4006,0,2986,2942,1
60000,1,3,1,41,0,0,-1,0,0,0,46181,40939,40103,36498,43996,42581,13451,5670,2355,39573,0,16297,0
100000,1,1,2,21,0,-2,0,0,0,0,31065,33091,29747,18964,21349,19789,3916,2387,1549,0,0,1158,0
190000,2,2,2,31,0,-1,0,0,0,-1,48359,59318,59385,50483,43854,40110,49089,1696,2453,3646,45291,0,1
150000,2,3,1,44,0,0,-2,0,0,-1,1575,793,-7500,-3155,-7500,3995,1681,51,0,0,0,0,0
90000,1,1,2,24,-1,-1,0,-1,0,0,13814,19334,21743,14994,17644,18943,1497,406,18383,0,15384,15723,1
220000,2,2,1,39,-2,-2,-2,0,0,-2,35348,46267,57265,64939,80446,69530,0,3863,5548,0,0,0,0
40000,1,1,2,23,2,2,3,2,2,2,29282,23754,20198,16101,16534,18309,1386,0,225,498,0,0,1
90000,2,3,1,40,-1,-1,-1,-1,-1,-1,14285,13818,10968,8019,8258,8381,11757,12683,10979,7546,7557,7004,0
120000,2,3,1,36,-2,-2,-2,-2,-2,-2,1647,2277,643,1948,133,1291,0,0,0,0,0,0,1
160000,2,3,1,21,0,2,2,0,0,0,71405,64685,45441,45052,46128,41690,1857,6225,1843,0,1305,2317,0
300000,2,2,1,47,0,0,0,-1,0,0,94913,83933,89844,77991,92950,116751,3627,5050,72595,1830,4985,54271,0
60000,1,3,1,29,-1,-1,-1,-1,-1,-1,29393,26780,26185,24436,25840,24033,24131,24791,25528,20627,26606,24592,0
180000,1,2,1,28,0,0,-1,0,0,-1,88346,83430,88499,98440,112002,106566,94619,0,6162,98556,24322,5770,0
210000,1,1,2,38,0,-1,0,0,0,-2,89773,79738,94690,82415,91303,101945,0,0,5357,3000,90582,7287,0
20000,2,2,2,47,-2,-2,-2,-2,-2,-2,228,353,377,296,35,268,0,0,0,0,0,0,0
220000,2,1,1,26,0,0,0,0,0,0,164638,159748,160223,153781,166410,152300,5927,75615,0,14339,0,5507,1
50000,2,2,2,36,-2,0,-2,0,0,-2,27918,29670,30639,31263,29258,26886,0,4904,12668,0,1812,0,0
20000,2,1,2,40,0,0,0,-2,0,0,11920,11705,9679,7938,7998,7452,4923,2254,0,0,1456,1962,0
470000,2,1,1,43,0,0,0,0,0,0,341447,323251,299783,297344,279584,240630,20771,18111,11994,15388,13865,7108,0
500000,2,1,1,38,0,0,0,0,0,0,-25000,-25000,-25000,19500,18402,34144,0,0,0,0,1011,3425,0
320000,2,2,1,32,-2,-2,-2,-2,-2,-2,405,843,5496,4056,1620,3554,0,0,0,0,0,0,0
100000,2,2,1,28,0,-2,-2,0,0,0,74026,66464,61364,59137,59247,54868,0,7751,25423,0,0,2051,0
30000,1,2,2,37,2,3,2,1,0,0,19188,18994,19994,18392,19686,17528,475,0,0,562,0,472,1
260000,2,1,1,26,0,0,0,0,0,0,120258,108665,121209,113820,118016,98089,3950,8557,0,3936,5042,18592,0
150000,1,1,2,21,-2,-2,-2,-2,-2,-2,2984,2038,222,2978,1224,862,0,0,0,0,0,0,0
40000,2,2,2,40,-2,-2,-2,-2,-2,-2,360,669,458,799,229,224,0,0,0,0,0,0,0
170000,2,2,1,45,3,0,3,2,1,2,65856,70904,76038,67418,67382,70811,0,2515,2081,0,2970,2871,1
