dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,logistic_regression,ctgan,0.75,0.8502180455745961,0.0017478646939839432,0.8475523616485474,0.8520361157177078,5,0.6396549035918934,0.0077525862729598835,0.6293309438470729,0.6475493782004389,5,0.8982179805085246,0.001275432603052692,0.8966926614338397,0.8993370100706722,5
adult,full,logistic_regression,llm_constrained,1.0,0.8492230206989742,0.0013304480625575645,0.8474909403599288,0.8506848473680978,5,0.6554008536028518,0.004427909110868161,0.6490459363957597,0.6610901993587063,5,0.8964671727198802,0.0023027780188167465,0.8936019145631124,0.8991826975049247,5
adult,full,logistic_regression,llm_sample,1.0,0.8492230206989742,0.0013304480625575645,0.8474909403599288,0.8506848473680978,5,0.6554008536028518,0.004427909110868161,0.6490459363957597,0.6610901993587063,5,0.8964671727198802,0.0023027780188167465,0.8936019145631124,0.8991826975049247,5
adult,low,logistic_regression,ctgan,0.5,0.8413856642712364,0.0029461737660185835,0.8382777470671334,0.8454026165468952,5,0.6332419537096137,0.001782355108370617,0.6305571187394485,0.6351601423487544,5,0.8776480402199601,0.0032765322606124626,0.8723513387660556,0.8808474791745992,5
adult,low,logistic_regression,llm_constrained,1.0,0.8317056691849395,0.0,0.8317056691849395,0.8317056691849395,5,0.6387130801687764,0.0,0.6387130801687764,0.6387130801687764,5,0.8722329383726215,0.0,0.8722329383726215,0.8722329383726215,5
adult,low,logistic_regression,llm_sample,1.0,0.8317056691849395,0.0,0.8317056691849395,0.8317056691849395,5,0.6387130801687764,0.0,0.6387130801687764,0.6387130801687764,5,0.8722329383726215,0.0,0.8722329383726215,0.8722329383726215,5
credit,full,logistic_regression,ctgan,0.75,0.8063666666666667,0.00263628526529282,0.8026666666666666,0.8091666666666667,5,0.36002091498399535,0.02998707611861452,0.320973348783314,0.3932167461579226,5,0.7092496763865468,0.002384569309052825,0.7066147122005214,0.711090551938528,5
credit,full,logistic_regression,llm_constrained,1.0,0.8078333333333333,0.0012247448713915941,0.8066666666666666,0.8096666666666666,5,0.3568999378494136,0.021114921443088533,0.3294797687861271,0.3783783783783784,5,0.7073445216157015,0.0022916702923641667,0.7039459796541597,0.7099131746757938,5
credit,full,logistic_regression,llm_sample,1.0,0.8078333333333333,0.0012247448713915941,0.8066666666666666,0.8096666666666666,5,0.3568999378494136,0.021114921443088533,0.3294797687861271,0.3783783783783784,5,0.7073445216157015,0.0022916702923641667,0.7039459796541597,0.7099131746757938,5
credit,low,logistic_regression,ctgan,0.25,0.7941333333333332,0.004676180777800037,0.7883333333333333,0.8006666666666666,5,0.39026316707159875,0.025450004996771226,0.3523316062176165,0.4160377358490566,5,0.6985522017083823,0.0016066538046302001,0.6975166064055709,0.7013107897006823,5
credit,low,logistic_regression,llm_constrained,1.0,0.7995,0.0,0.7995,0.7995,5,0.3827603899435608,0.0,0.3827603899435608,0.3827603899435608,5,0.6960644379011303,0.0,0.6960644379011303,0.6960644379011303,5
credit,low,logistic_regression,llm_sample,1.0,0.7995,0.0,0.7995,0.7995,5,0.3827603899435608,0.0,0.3827603899435608,0.3827603899435608,5,0.6960644379011303,0.0,0.6960644379011303,0.6960644379011303,5
heart,full,logistic_regression,ctgan,0.25,0.8557377049180328,0.02693717495927043,0.819672131147541,0.8852459016393442,5,0.8406301106301106,0.029361246080746976,0.8,0.8727272727272727,5,0.9465367965367966,0.01593520547126059,0.9264069264069263,0.9675324675324676,5
heart,full,logistic_regression,llm_constrained,0.25,0.9081967213114754,0.008979058319756834,0.9016393442622952,0.918032786885246,5,0.9013654826721978,0.010077697892716536,0.8928571428571429,0.912280701754386,5,0.9746753246753247,0.0027164286575781186,0.9707792207792209,0.9772727272727272,5
heart,full,logistic_regression,llm_sample,0.25,0.8852459016393442,0.016393442622950893,0.8688524590163934,0.9016393442622952,5,0.8806390025326319,0.01617881214917086,0.8620689655172413,0.896551724137931,5,0.9487012987012987,0.0012339560877696238,0.946969696969697,0.9502164502164502,5
heart,low,logistic_regression,ctgan,1.0,0.7868852459016393,0.0,0.7868852459016393,0.7868852459016393,5,0.7636363636363637,0.0,0.7636363636363637,0.7636363636363637,5,0.8766233766233766,0.0,0.8766233766233766,0.8766233766233766,5
heart,low,logistic_regression,llm_constrained,0.0,0.878688524590164,0.047229050134058835,0.819672131147541,0.9344262295081968,5,0.8637533535646742,0.05567245198415995,0.8,0.9333333333333332,5,0.958008658008658,0.025808908796046096,0.9134199134199136,0.9772727272727272,5
heart,low,logistic_regression,llm_sample,0.0,0.8557377049180328,0.01371573813990286,0.8360655737704918,0.8688524590163934,5,0.8450554351981647,0.014704712435261955,0.8214285714285714,0.8571428571428571,5,0.9569264069264068,0.0019359895909088576,0.9545454545454546,0.9588744588744588,5
