dataset,regime,model,method,ratio,seed,accuracy,f1,auc
adult,full,mlp,llm_constrained,1.0,42,0.8458939868558443,0.6336691487808439,0.89056712167964
adult,full,mlp,llm_constrained,1.0,123,0.8474295190713101,0.649746192893401,0.8920867449897031
adult,full,mlp,llm_constrained,1.0,456,0.8453411952582766,0.6639081687132942,0.8944357460667546
adult,full,mlp,llm_constrained,1.0,789,0.8454026165468952,0.6327155990077339,0.89160818784983
adult,full,mlp,llm_constrained,1.0,1001,0.8442356120631411,0.6577597840755736,0.8889989881863066
adult,full,mlp,llm_constrained,0.75,42,0.8427615011362939,0.6267133275007291,0.8867300707307746
adult,full,mlp,llm_constrained,0.75,123,0.8418401818070144,0.6323004426674282,0.8850698933465984
adult,full,mlp,llm_constrained,0.75,456,0.8447884036607088,0.6357214934409687,0.8877087009495659
adult,full,mlp,llm_constrained,0.75,789,0.8363736871199557,0.6089254257193188,0.8720921856576717
adult,full,mlp,llm_constrained,0.75,1001,0.8384005896443707,0.6289662953039064,0.881993302249179
adult,full,mlp,llm_constrained,0.5,42,0.8401203857256925,0.6272375769726478,0.8774722577162033
adult,full,mlp,llm_constrained,0.5,123,0.8325655672256004,0.5617363344051447,0.8678428399701329
adult,full,mlp,llm_constrained,0.5,456,0.8391376451077943,0.6291943933172873,0.8721790439771994
adult,full,mlp,llm_constrained,0.5,789,0.8352066826362017,0.6120028922631959,0.8674951035033762
adult,full,mlp,llm_constrained,0.5,1001,0.8367422148516676,0.6193067888857061,0.8776595655703991
adult,full,mlp,llm_constrained,0.25,42,0.827406178981635,0.5726885644768857,0.8661768601825698
adult,full,mlp,llm_constrained,0.25,123,0.8338554142865917,0.6228913982991775,0.868471820497267
adult,full,mlp,llm_constrained,0.25,456,0.8199742030587802,0.5913843580092012,0.8536101612942683
adult,full,mlp,llm_constrained,0.25,789,0.8288188686198636,0.5853295640529683,0.8579818488276322
adult,full,mlp,llm_constrained,0.25,1001,0.8356980529451508,0.5941435290547716,0.8661013243907318
adult,full,mlp,llm_constrained,0.0,42,0.8056630428106382,0.5123304562268804,0.8250865080843685
adult,full,mlp,llm_constrained,0.0,123,0.8109452736318408,0.5544296467863347,0.8317671967031477
adult,full,mlp,llm_constrained,0.0,456,0.8031447699772741,0.49945338122754956,0.8249164924377435
adult,full,mlp,llm_constrained,0.0,789,0.7939929979730975,0.4858982219497241,0.8146581359836621
adult,full,mlp,llm_constrained,0.0,1001,0.806707204717155,0.45769429605376527,0.8215539630833324
adult,full,mlp,llm_sample,1.0,42,0.8458939868558443,0.6336691487808439,0.89056712167964
adult,full,mlp,llm_sample,1.0,123,0.8474295190713101,0.649746192893401,0.8920867449897031
adult,full,mlp,llm_sample,1.0,456,0.8453411952582766,0.6639081687132942,0.8944357460667546
adult,full,mlp,llm_sample,1.0,789,0.8454026165468952,0.6327155990077339,0.89160818784983
adult,full,mlp,llm_sample,1.0,1001,0.8442356120631411,0.6577597840755736,0.8889989881863066
adult,full,mlp,llm_sample,0.75,42,0.8467538848965052,0.6356068351102673,0.8903001274855981
adult,full,mlp,llm_sample,0.75,123,0.8401203857256925,0.6260594742134751,0.8895538443170214
adult,full,mlp,llm_sample,0.75,456,0.8438670843314293,0.6476296090934295,0.891652307025132
adult,full,mlp,llm_sample,0.75,789,0.8483508384005897,0.639193336256028,0.8921726205598285
adult,full,mlp,llm_sample,0.75,1001,0.8393219089736502,0.6205395996518712,0.8782634337138665
adult,full,mlp,llm_sample,0.5,42,0.8438056630428107,0.6300014549687182,0.8880219470942087
adult,full,mlp,llm_sample,0.5,123,0.8447884036607088,0.621196222455404,0.8807871132698143
adult,full,mlp,llm_sample,0.5,456,0.8433142927338616,0.6181709324951354,0.8906823124553449
adult,full,mlp,llm_sample,0.5,789,0.8368036361402862,0.6122865898146796,0.8795776414892542
adult,full,mlp,llm_sample,0.5,1001,0.8369879000061421,0.5872472783825816,0.8843568772907731
adult,full,mlp,llm_sample,0.25,42,0.8377249554695657,0.5886016817190907,0.8826792404225321
adult,full,mlp,llm_sample,0.25,123,0.8313985627418463,0.5560407569141194,0.8731442711669062
