dataset,regime,model,method,ratio,seed,accuracy,f1,auc
adult,full,xgboost,llm_constrained,1.0,42,0.857379767827529,0.6336383717260966,0.9110522611495534
adult,full,xgboost,llm_constrained,1.0,123,0.8560899207665377,0.6313139260424863,0.9106652356162601
adult,full,xgboost,llm_constrained,1.0,456,0.859898040660893,0.644427123928293,0.9113212940258664
adult,full,xgboost,llm_constrained,1.0,789,0.859222406486088,0.6449814126394052,0.9116090827790733
adult,full,xgboost,llm_constrained,1.0,1001,0.8583010871568085,0.6404862085086489,0.9086417441418203
adult,full,xgboost,llm_constrained,0.75,42,0.8555985504575886,0.6184061029053725,0.9082907980573346
adult,full,xgboost,llm_constrained,0.75,123,0.8545543885510718,0.6163318211276734,0.9081653197772462
adult,full,xgboost,llm_constrained,0.75,456,0.8567655549413427,0.6236281471917366,0.9090812840394596
adult,full,xgboost,llm_constrained,0.75,789,0.8563970272096308,0.6261592580748321,0.9085988168115385
adult,full,xgboost,llm_constrained,0.75,1001,0.8533873840673177,0.609009009009009,0.9082813573902022
adult,full,xgboost,llm_constrained,0.5,42,0.8525889073152755,0.6069439895185064,0.9024365807764598
adult,full,xgboost,llm_constrained,0.5,123,0.8532645414900805,0.6132426744374292,0.9020595186493426
adult,full,xgboost,llm_constrained,0.5,456,0.8495792641729624,0.5997712044451707,0.9000604809073746
adult,full,xgboost,llm_constrained,0.5,789,0.85283459246975,0.6082406801831263,0.9031422993952328
adult,full,xgboost,llm_constrained,0.5,1001,0.8529574350469873,0.6119935170178282,0.9029713950922331
adult,full,xgboost,llm_constrained,0.25,42,0.8429457650021498,0.5647659574468085,0.8884473207637593
adult,full,xgboost,llm_constrained,0.25,123,0.8419630243842516,0.5575236457437661,0.8905932272674905
adult,full,xgboost,llm_constrained,0.25,456,0.8433142927338616,0.5779983457402812,0.889778413010264
adult,full,xgboost,llm_constrained,0.25,789,0.8409188624777347,0.5444952514948997,0.8936880828671023
adult,full,xgboost,llm_constrained,0.25,1001,0.8452183526810393,0.5753286147623863,0.8918219253900835
adult,full,xgboost,llm_constrained,0.0,42,0.8194214114612125,0.4633077765607886,0.8582822565013579
adult,full,xgboost,llm_constrained,0.0,123,0.8159818192985688,0.42955064737242954,0.8585708293631303
