dataset,regime,model,method,ratio,seed,accuracy,f1,auc
adult,full,svm,llm_constrained,1.0,42,0.8517904305632332,0.6589399293286219,0.9007865549845154
adult,full,svm,llm_constrained,1.0,123,0.8510533750998096,0.6591707659873507,0.8979900683763579
adult,full,svm,llm_constrained,1.0,456,0.8503777409250046,0.6563205417607223,0.9010752219393159
adult,full,svm,llm_constrained,1.0,789,0.8506234260794792,0.6576576576576577,0.8985844331240078
adult,full,svm,llm_constrained,1.0,1001,0.8485351022664456,0.6509060022650056,0.8987521068997163
adult,full,svm,llm_constrained,0.75,42,0.8506234260794792,0.6428781204111601,0.8945031480390699
adult,full,svm,llm_constrained,0.75,123,0.8469995700509797,0.6277088626513226,0.896518265234027
adult,full,svm,llm_constrained,0.75,456,0.8469995700509797,0.6367215983666327,0.8958265978407531
adult,full,svm,llm_constrained,0.75,789,0.8487807874209201,0.6361217853975761,0.8949528290741602
adult,full,svm,llm_constrained,0.75,1001,0.847122412628217,0.622592873388931,0.8985749924568756
adult,full,svm,llm_constrained,0.5,42,0.8406731773232602,0.6029996939087848,0.886845648333372
adult,full,svm,llm_constrained,0.5,123,0.8420244456728703,0.6021039603960396,0.8825550480804918
adult,full,svm,llm_constrained,0.5,456,0.8405503347460229,0.6037851037851037,0.8826920161647639
adult,full,svm,llm_constrained,0.5,789,0.8390762238191757,0.5975422427035331,0.8834342219687983
adult,full,svm,llm_constrained,0.5,1001,0.837847798046803,0.5997574287446937,0.8832095591825281
adult,full,svm,llm_constrained,0.25,42,0.8306615072784227,0.5665775821411728,0.8703121860298617
adult,full,svm,llm_constrained,0.25,123,0.8329340949573122,0.5756630265210608,0.8686181874295478
adult,full,svm,llm_constrained,0.25,456,0.8337325717093544,0.5790701290623542,0.8726553010652793
adult,full,svm,llm_constrained,0.25,789,0.831951354339414,0.5679090334807327,0.868473785996072
adult,full,svm,llm_constrained,0.25,1001,0.8328112523800749,0.5699842022116903,0.8709720186153647
adult,full,svm,llm_constrained,0.0,42,0.814262023217247,0.5125725338491296,0.8367472897548793
adult,full,svm,llm_constrained,0.0,123,0.814262023217247,0.5125725338491296,0.8367472583905368
adult,full,svm,llm_constrained,0.0,456,0.814262023217247,0.5125725338491296,0.8367472479357557
adult,full,svm,llm_constrained,0.0,789,0.814262023217247,0.5125725338491296,0.8367472583905368
adult,full,svm,llm_constrained,0.0,1001,0.814262023217247,0.5125725338491296,0.8367472583905368
adult,full,svm,llm_sample,1.0,42,0.8517904305632332,0.6589399293286219,0.9007865549845154
adult,full,svm,llm_sample,1.0,123,0.8510533750998096,0.6591707659873507,0.8979900683763579
adult,full,svm,llm_sample,1.0,456,0.8503777409250046,0.6563205417607223,0.9010752219393159
adult,full,svm,llm_sample,1.0,789,0.8506234260794792,0.6576576576576577,0.8985844331240078
adult,full,svm,llm_sample,1.0,1001,0.8485351022664456,0.6509060022650056,0.8987521068997163
adult,full,svm,llm_sample,0.75,42,0.848965051286776,0.6306143908667567,0.8962220708369951
adult,full,svm,llm_sample,0.75,123,0.8412873902094465,0.603802514566084,0.8941641413143456
adult,full,svm,llm_sample,0.75,456,0.8471838339168356,0.6332547169811321,0.897376048640659
adult,full,svm,llm_sample,0.75,789,0.8463853571647934,0.6218055345531529,0.8964744074282472
adult,full,svm,llm_sample,0.75,1001,0.8413488114980652,0.5979766536964981,0.8942091805103649
adult,full,svm,llm_sample,0.5,42,0.8444812972176157,0.6081708449396471,0.8937698183440005
adult,full,svm,llm_sample,0.5,123,0.8404889134574043,0.5897962407202654,0.886179710155837
adult,full,svm,llm_sample,0.5,456,0.8424543946932007,0.5958720655427762,0.8915883133113824
adult,full,svm,llm_sample,0.5,789,0.8404889134574043,0.5845464725643897,0.892113582412215
adult,full,svm,llm_sample,0.5,1001,0.8398747005712179,0.5941148995796357,0.8897221662891446
adult,full,svm,llm_sample,0.25,42,0.8347767336158712,0.5626016260162602,0.8835722668955008
adult,full,svm,llm_sample,0.25,123,0.8325041459369817,0.5637498000319949,0.8771366697048258
adult,full,svm,llm_sample,0.25,456,0.8336711504207358,0.5567921440261866,0.8834240599217856
adult,full,svm,llm_sample,0.25,789,0.8347767336158712,0.5634534242129179,0.883541780754463
adult,full,svm,llm_sample,0.25,1001,0.8337325717093544,0.5526359279457941,0.8818195019718762
adult,full,svm,llm_sample,0.0,42,0.8266077022295928,0.5209570677074495,0.8700960334352257
adult,full,svm,llm_sample,0.0,123,0.8266077022295928,0.5209570677074495,0.8700960961639109
adult,full,svm,llm_sample,0.0,456,0.8266077022295928,0.5209570677074495,0.8700960438900065
adult,full,svm,llm_sample,0.0,789,0.8266077022295928,0.5209570677074495,0.8700960961639109
adult,full,svm,llm_sample,0.0,1001,0.8266077022295928,0.5209570677074495,0.8700960438900065
adult,full,svm,ctgan,1.0,42,0.8517904305632332,0.6589399293286219,0.9007865549845154
adult,full,svm,ctgan,1.0,123,0.8510533750998096,0.6591707659873507,0.8979900683763579
adult,full,svm,ctgan,1.0,456,0.8503777409250046,0.6563205417607223,0.9010752219393159
adult,full,svm,ctgan,1.0,789,0.8506234260794792,0.6576576576576577,0.8985844331240078
adult,full,svm,ctgan,1.0,1001,0.8485351022664456,0.6509060022650056,0.8987521068997163
adult,full,svm,ctgan,0.75,42,0.8508076899453351,0.6353400390331781,0.8997539990059595
adult,full,svm,ctgan,0.75,123,0.8484122596892083,0.6268521318415482,0.89986377420517
adult,full,svm,ctgan,0.75,456,0.8510533750998096,0.6435396148757901,0.8995340826902076
adult,full,svm,ctgan,0.75,789,0.853510226644555,0.6484893146647015,0.9001319916085748
adult,full,svm,ctgan,0.75,1001,0.8491493151526319,0.6292270531400966,0.9006472345745459
adult,full,svm,ctgan,0.5,42,0.8463239358761747,0.6095505617977528,0.8973322849279071
adult,full,svm,ctgan,0.5,123,0.8471838339168356,0.6114928169893816,0.8986678622754078
adult,full,svm,ctgan,0.5,456,0.8492107364412506,0.6213172913774487,0.8996521171663111
adult,full,svm,ctgan,0.5,789,0.8476752042257847,0.6129837702871411,0.8982184530646204
adult,full,svm,ctgan,0.5,1001,0.8465081997420306,0.6078769810136514,0.8964553065435846
adult,full,svm,ctgan,0.25,42,0.8420244456728703,0.5805609915198956,0.8967406384232851
adult,full,svm,ctgan,0.25,123,0.8415944966525398,0.5774209405210552,0.8955174708797762
adult,full,svm,ctgan,0.25,456,0.8405503347460229,0.5769230769230769,0.8949097971960696
adult,full,svm,ctgan,0.25,789,0.8406731773232602,0.5692460976419794,0.894670184073145
adult,full,svm,ctgan,0.25,1001,0.8415944966525398,0.5796251018744907,0.8954539789955089
adult,full,svm,ctgan,0.0,42,0.8325655672256004,0.5250871080139373,0.8913018418605663
adult,full,svm,ctgan,0.0,123,0.8325655672256004,0.5250871080139373,0.8913019150440324
adult,full,svm,ctgan,0.0,456,0.8325655672256004,0.5250871080139373,0.8913019150440324
adult,full,svm,ctgan,0.0,789,0.8325655672256004,0.5250871080139373,0.8913019254988133
adult,full,svm,ctgan,0.0,1001,0.8325655672256004,0.5250871080139373,0.8913018732249088
adult,low,svm,llm_constrained,1.0,42,0.8317056691849395,0.6432291666666666,0.8736817619065841
adult,low,svm,llm_constrained,1.0,123,0.8317056691849395,0.6432291666666666,0.8736786254723209
adult,low,svm,llm_constrained,1.0,456,0.8317056691849395,0.6432291666666666,0.8736796500408468
adult,low,svm,llm_constrained,1.0,789,0.8318285117621768,0.6433967178952852,0.8736635705878577
adult,low,svm,llm_constrained,1.0,1001,0.8317056691849395,0.6432291666666666,0.8736731262575794
adult,low,svm,llm_constrained,0.75,42,0.8298630305263804,0.6353343865192207,0.8734028701719039
adult,low,svm,llm_constrained,0.75,123,0.8295559240832873,0.6248479113153982,0.8635842522562986
adult,low,svm,llm_constrained,0.75,456,0.8348381549044899,0.6425628073906686,0.8709306490474336
adult,low,svm,llm_constrained,0.75,789,0.8398747005712179,0.6423377692413226,0.8794790006316779
adult,low,svm,llm_constrained,0.75,1001,0.8338554142865917,0.6395736175882745,0.8727218980194672
adult,low,svm,llm_constrained,0.5,42,0.8288188686198636,0.6291417165668662,0.8741567435113972
adult,low,svm,llm_constrained,0.5,123,0.8269762299613046,0.6076055160885917,0.8739309725183538
adult,low,svm,llm_constrained,0.5,456,0.8317056691849395,0.6230049532195927,0.8643470957977846
adult,low,svm,llm_constrained,0.5,789,0.8233523739328051,0.5743043220840734,0.8639808439140944
adult,low,svm,llm_constrained,0.5,1001,0.8288188686198636,0.617433081674674,0.865109803427119
adult,low,svm,llm_constrained,0.25,42,0.8288188686198636,0.6010021474588404,0.8452404923699963
adult,low,svm,llm_constrained,0.25,123,0.8328112523800749,0.5775915580384854,0.8620618375197412
adult,low,svm,llm_constrained,0.25,456,0.817824457957128,0.5591557669441142,0.8435913238700838
adult,low,svm,llm_constrained,0.25,789,0.824887906148271,0.5932372663718076,0.8522601772587189
adult,low,svm,llm_constrained,0.25,1001,0.8247036422824151,0.5836008170411439,0.853195315589061
adult,low,svm,llm_constrained,0.0,42,0.808549843375714,0.5395183926724775,0.8317251998483639
adult,low,svm,llm_constrained,0.0,123,0.7801732080339046,0.4687546385631587,0.7817991987874127
adult,low,svm,llm_constrained,0.0,456,0.8119280142497389,0.529067979083359,0.8246754156454961
adult,low,svm,llm_constrained,0.0,789,0.807874209200909,0.4772727272727273,0.8351634949997919
adult,low,svm,llm_constrained,0.0,1001,0.790860512253547,0.4947321561062472,0.7900050935692434
adult,low,svm,llm_sample,1.0,42,0.8317056691849395,0.6432291666666666,0.8736817619065841
adult,low,svm,llm_sample,1.0,123,0.8317056691849395,0.6432291666666666,0.8736786254723209
adult,low,svm,llm_sample,1.0,456,0.8317056691849395,0.6432291666666666,0.8736796500408468
adult,low,svm,llm_sample,1.0,789,0.8318285117621768,0.6433967178952852,0.8736635705878577
adult,low,svm,llm_sample,1.0,1001,0.8317056691849395,0.6432291666666666,0.8736731262575794
adult,low,svm,llm_sample,0.75,42,0.8324427246483631,0.6327409800753904,0.8731547886764686
adult,low,svm,llm_sample,0.75,123,0.8348995761931085,0.643879173290938,0.8697116320519327
adult,low,svm,llm_sample,0.75,456,0.8385848535102266,0.6388125343595382,0.8793273853993966
adult,low,svm,llm_sample,0.75,789,0.8364351084085744,0.6501116804624885,0.878130908911467
adult,low,svm,llm_sample,0.75,1001,0.83078434985566,0.6216179096277984,0.8684300222833199
adult,low,svm,llm_sample,0.5,42,0.8296787666605245,0.6075017692852088,0.8741740670833106
adult,low,svm,llm_sample,0.5,123,0.8347153123272526,0.6043228936921041,0.8754738054419643
adult,low,svm,llm_sample,0.5,456,0.8350838400589644,0.602634305165014,0.8747320910126314
adult,low,svm,llm_sample,0.5,789,0.8372950064492353,0.6316228619107217,0.8759995868270596
adult,low,svm,llm_sample,0.5,1001,0.8333640439776426,0.6087959625090122,0.869442065981795
adult,low,svm,llm_sample,0.25,42,0.8233523739328051,0.5606477238007944,0.8572020789959061
adult,low,svm,llm_sample,0.25,123,0.8332412014004054,0.5774319066147859,0.8684818466321282
adult,low,svm,llm_sample,0.25,456,0.8162275044530434,0.5503456567478209,0.8599972796660157
adult,low,svm,llm_sample,0.25,789,0.8213254714083902,0.5220962707409232,0.8554914572939973
adult,low,svm,llm_sample,0.25,1001,0.8252564338799828,0.5581612051560801,0.8649666670221292
adult,low,svm,llm_sample,0.0,42,0.8235980590872797,0.533917559234015,0.857344180377589
adult,low,svm,llm_sample,0.0,123,0.8254406977458387,0.5344036697247706,0.866107879538342
adult,low,svm,llm_sample,0.0,456,0.8176401940912721,0.49256537344043755,0.8564110180008325
adult,low,svm,llm_sample,0.0,789,0.8115594865180271,0.4805282763291568,0.8334277400046546
adult,low,svm,llm_sample,0.0,1001,0.8147533935261961,0.47928176795580113,0.8449155682351139
adult,low,svm,ctgan,1.0,42,0.8317056691849395,0.6432291666666666,0.8736817619065841
adult,low,svm,ctgan,1.0,123,0.8317056691849395,0.6432291666666666,0.8736786254723209
adult,low,svm,ctgan,1.0,456,0.8317056691849395,0.6432291666666666,0.8736796500408468
adult,low,svm,ctgan,1.0,789,0.8318285117621768,0.6433967178952852,0.8736635705878577
adult,low,svm,ctgan,1.0,1001,0.8317056691849395,0.6432291666666666,0.8736731262575794
adult,low,svm,ctgan,0.75,42,0.8328726736686936,0.6378277652069746,0.8676558248498014
adult,low,svm,ctgan,0.75,123,0.8376021128923284,0.6433773941192339,0.875279816982788
adult,low,svm,ctgan,0.75,456,0.8361894232540998,0.643687374749499,0.8785949234511398
adult,low,svm,ctgan,0.75,789,0.840366070880167,0.65562475155691,0.8757563772595133
adult,low,svm,ctgan,0.75,1001,0.8348381549044899,0.63794264171267,0.8757168163686739
adult,low,svm,ctgan,0.5,42,0.8415330753639212,0.6406685236768802,0.8794142646284862
adult,low,svm,ctgan,0.5,123,0.8445427185062343,0.6407381121362669,0.8834733019397173
adult,low,svm,ctgan,0.5,456,0.8398747005712179,0.6379669490348563,0.8837341696321652
adult,low,svm,ctgan,0.5,789,0.8458939868558443,0.6352667538886466,0.8822639451617469
adult,low,svm,ctgan,0.5,1001,0.8442970333517598,0.6403745212086821,0.8834413521293566
adult,low,svm,ctgan,0.25,42,0.8407345986118788,0.6049062928538778,0.8700602362655021
adult,low,svm,ctgan,0.25,123,0.8355137890792949,0.5527722110888443,0.8809614362861609
adult,low,svm,ctgan,0.25,456,0.8304158221239482,0.5585931254996003,0.869401020512071
adult,low,svm,ctgan,0.25,789,0.8443584546403784,0.6074969021065675,0.883712570054873
adult,low,svm,ctgan,0.25,1001,0.8368650574289048,0.6151840046363373,0.8713395041631983
adult,low,svm,ctgan,0.0,42,0.828757447331245,0.56177302734989,0.8690059029783789
adult,low,svm,ctgan,0.0,123,0.8345924697500153,0.5552436003303055,0.8743852954761536
adult,low,svm,ctgan,0.0,456,0.8145077083717216,0.4597495527728086,0.8428665148214293
adult,low,svm,ctgan,0.0,789,0.8193599901725939,0.4777126620493696,0.8660856004002926
adult,low,svm,ctgan,0.0,1001,0.835820895522388,0.5837097025385454,0.8768821689739322
credit,full,svm,llm_constrained,1.0,42,0.804,0.3,0.7056092407263197
credit,full,svm,llm_constrained,1.0,123,0.8015,0.266173752310536,0.706755010545759
credit,full,svm,llm_constrained,1.0,456,0.8041666666666667,0.3043220840734162,0.7045097532345623
credit,full,svm,llm_constrained,1.0,789,0.799,0.24906600249066002,0.7035121836211841
credit,full,svm,llm_constrained,1.0,1001,0.8036666666666666,0.31828703703703703,0.7014396384108488
credit,full,svm,llm_constrained,0.75,42,0.7958333333333333,0.1924851680949242,0.6835838518862305
credit,full,svm,llm_constrained,0.75,123,0.8053333333333333,0.30969267139479906,0.6928512832702608
credit,full,svm,llm_constrained,0.75,456,0.7991666666666667,0.2368587713742875,0.6947764345868641
credit,full,svm,llm_constrained,0.75,789,0.799,0.25555555555555554,0.6908246978626756
credit,full,svm,llm_constrained,0.75,1001,0.8066666666666666,0.32792584009269987,0.6918843535253829
credit,full,svm,llm_constrained,0.5,42,0.7986666666666666,0.2660996354799514,0.6833995288878325
credit,full,svm,llm_constrained,0.5,123,0.8015,0.2768670309653916,0.6787864547914384
credit,full,svm,llm_constrained,0.5,456,0.799,0.2308673469387755,0.6819620352677787
credit,full,svm,llm_constrained,0.5,789,0.8023333333333333,0.2697044334975369,0.6824074421982913
credit,full,svm,llm_constrained,0.5,1001,0.7985,0.24390243902439024,0.6885810531761368
credit,full,svm,llm_constrained,0.25,42,0.7998333333333333,0.280407429598562,0.6729361750575023
credit,full,svm,llm_constrained,0.25,123,0.7981666666666667,0.2520074119827054,0.6735073667113309
credit,full,svm,llm_constrained,0.25,456,0.802,0.2851985559566787,0.6725904283308479
credit,full,svm,llm_constrained,0.25,789,0.8003333333333333,0.27040194884287455,0.6718405578649236
credit,full,svm,llm_constrained,0.25,1001,0.8,0.26380368098159507,0.6728607042235123
credit,full,svm,llm_constrained,0.0,42,0.7996666666666666,0.2785114045618247,0.6683300352471371
credit,full,svm,llm_constrained,0.0,123,0.7996666666666666,0.2785114045618247,0.6683300352471371
credit,full,svm,llm_constrained,0.0,456,0.7996666666666666,0.2785114045618247,0.6683300352471371
credit,full,svm,llm_constrained,0.0,789,0.7996666666666666,0.2785114045618247,0.6683300352471371
credit,full,svm,llm_constrained,0.0,1001,0.7996666666666666,0.2785114045618247,0.6683300352471371
credit,full,svm,llm_sample,1.0,42,0.804,0.3,0.7056092407263197
credit,full,svm,llm_sample,1.0,123,0.8015,0.266173752310536,0.706755010545759
credit,full,svm,llm_sample,1.0,456,0.8041666666666667,0.3043220840734162,0.7045097532345623
credit,full,svm,llm_sample,1.0,789,0.799,0.24906600249066002,0.7035121836211841
credit,full,svm,llm_sample,1.0,1001,0.8036666666666666,0.31828703703703703,0.7014396384108488
credit,full,svm,llm_sample,0.75,42,0.8041666666666667,0.29344558027660855,0.6866673514946047
credit,full,svm,llm_sample,0.75,123,0.8093333333333333,0.36655592469545956,0.6900903085934672
credit,full,svm,llm_sample,0.75,456,0.8058333333333333,0.3222803955788249,0.6886500735114951
credit,full,svm,llm_sample,0.75,789,0.8083333333333333,0.3625277161862528,0.6881928944209799
credit,full,svm,llm_sample,0.75,1001,0.812,0.39289558665231433,0.6897616556881867
credit,full,svm,llm_sample,0.5,42,0.8058333333333333,0.3719676549865229,0.6870321271922222
