dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,svm,ctgan,0.75,0.850586573306308,0.001975341491396328,0.8484122596892083,0.853510226644555,5,0.6366896307110629,0.009225544295191701,0.6268521318415482,0.6484893146647015,5,0.8999862164168915,0.00042764978054927875,0.8995340826902076,0.9006472345745459,5
adult,full,svm,llm_constrained,1.0,0.8504760149867945,0.001210326713863312,0.8485351022664456,0.8517904305632332,5,0.6565989793998717,0.0033801793092587953,0.6509060022650056,0.6591707659873507,5,0.8994376770647827,0.0013959430008916845,0.8979900683763579,0.901075221939316,5
adult,full,svm,llm_sample,1.0,0.8504760149867945,0.001210326713863312,0.8485351022664456,0.8517904305632332,5,0.6565989793998717,0.0033801793092587953,0.6509060022650056,0.6591707659873507,5,0.8994376770647827,0.0013959430008916845,0.8979900683763579,0.901075221939316,5
adult,low,svm,ctgan,1.0,0.8522203795835637,0.0,0.8522203795835637,0.8522203795835637,5,0.6624579124579124,0.0,0.6624579124579124,0.6624579124579124,5,0.9014013713745171,3.6516979700250084e-08,0.9014013065548758,0.9014013901931228,5
adult,low,svm,llm_constrained,1.0,0.8522203795835637,0.0,0.8522203795835637,0.8522203795835637,5,0.6624579124579124,0.0,0.6624579124579124,0.6624579124579124,5,0.9014013713745171,3.6516979700250084e-08,0.9014013065548758,0.9014013901931228,5
adult,low,svm,llm_sample,1.0,0.8522203795835637,0.0,0.8522203795835637,0.8522203795835637,5,0.6624579124579124,0.0,0.6624579124579124,0.6624579124579124,5,0.9014013713745171,3.6516979700250084e-08,0.9014013065548758,0.9014013901931228,5
credit,full,svm,ctgan,1.0,0.8024666666666667,0.0022154758706276526,0.799,0.8041666666666667,5,0.28756977518232985,0.02880551520227049,0.24906600249066,0.318287037037037,5,0.7043651653077347,0.002035084455213934,0.7014396384108488,0.706755010545759,5
credit,full,svm,llm_constrained,1.0,0.8024666666666667,0.0022154758706276526,0.799,0.8041666666666667,5,0.28756977518232985,0.02880551520227049,0.24906600249066,0.318287037037037,5,0.7043651653077347,0.002035084455213934,0.7014396384108488,0.706755010545759,5
credit,full,svm,llm_sample,1.0,0.8024666666666667,0.0022154758706276526,0.799,0.8041666666666667,5,0.28756977518232985,0.02880551520227049,0.24906600249066,0.318287037037037,5,0.7043651653077347,0.002035084455213934,0.7014396384108488,0.706755010545759,5
credit,low,svm,ctgan,1.0,0.804,0.0,0.804,0.804,5,0.3264604810996563,0.0,0.3264604810996563,0.3264604810996563,5,0.7041077259073473,0.0,0.7041077259073473,0.7041077259073473,5
credit,low,svm,llm_constrained,1.0,0.804,0.0,0.804,0.804,5,0.3264604810996563,0.0,0.3264604810996563,0.3264604810996563,5,0.7041077259073473,0.0,0.7041077259073473,0.7041077259073473,5
credit,low,svm,llm_sample,1.0,0.804,0.0,0.804,0.804,5,0.3264604810996563,0.0,0.3264604810996563,0.3264604810996563,5,0.7041077259073473,0.0,0.7041077259073473,0.7041077259073473,5
heart,full,svm,ctgan,1.0,0.8852459016393442,0.0,0.8852459016393442,0.8852459016393442,5,0.8813559322033898,0.0,0.8813559322033898,0.8813559322033898,5,0.9556277056277056,0.0,0.9556277056277056,0.9556277056277056,5
heart,full,svm,llm_constrained,0.25,0.9049180327868853,0.017958116639513664,0.8852459016393442,0.9344262295081968,5,0.8972055530676221,0.021105849470263994,0.8727272727272727,0.9310344827586208,5,0.9748917748917748,0.0014110827716888696,0.972943722943723,0.9761904761904762,5
heart,full,svm,llm_sample,0.5,0.8950819672131148,0.008979058319756891,0.8852459016393442,0.9016393442622952,5,0.8904734073641146,0.008323078021703295,0.8813559322033898,0.896551724137931,5,0.9595238095238097,0.00249152909809976,0.9567099567099568,0.9632034632034632,5
heart,low,svm,ctgan,0.25,0.780327868852459,0.021994111254096317,0.7540983606557377,0.8032786885245902,5,0.7425974025974026,0.029232032465160367,0.72,0.7857142857142857,5,0.8707792207792208,0.029723509274930445,0.8311688311688312,0.9015151515151516,5
heart,low,svm,llm_constrained,0.25,0.8688524590163935,0.038446030818224855,0.819672131147541,0.9016393442622952,5,0.8591154130537071,0.04493483151116874,0.8070175438596491,0.9,5,0.9489177489177489,0.009290985294950038,0.9350649350649352,0.9588744588744588,5
heart,low,svm,llm_sample,0.0,0.8491803278688523,0.01371573813990284,0.8360655737704918,0.8688524590163934,5,0.8351653253080549,0.020160235804502984,0.8076923076923077,0.8571428571428571,5,0.9359307359307358,0.0062358702557956626,0.9307359307359307,0.9437229437229436,5
