dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,svm,ctgan,1.0,0.8504760149867945,0.001210326713863312,0.8485351022664456,0.8517904305632332,5,0.6565989793998717,0.0033801793092587953,0.6509060022650056,0.6591707659873507,5,0.8994376770647827,0.0013959430008916845,0.8979900683763579,0.901075221939316,5
adult,full,svm,llm_constrained,1.0,0.8504760149867945,0.001210326713863312,0.8485351022664456,0.8517904305632332,5,0.6565989793998717,0.0033801793092587953,0.6509060022650056,0.6591707659873507,5,0.8994376770647827,0.0013959430008916845,0.8979900683763579,0.901075221939316,5
adult,full,svm,llm_sample,1.0,0.8504760149867945,0.001210326713863312,0.8485351022664456,0.8517904305632332,5,0.6565989793998717,0.0033801793092587953,0.6509060022650056,0.6591707659873507,5,0.8994376770647827,0.0013959430008916845,0.8979900683763579,0.901075221939316,5
adult,low,svm,ctgan,1.0,0.8522203795835637,0.0,0.8522203795835637,0.8522203795835637,5,0.6624579124579124,0.0,0.6624579124579124,0.6624579124579124,5,0.9014013713745171,3.6516979700250084e-08,0.9014013065548758,0.9014013901931228,5
adult,low,svm,llm_constrained,1.0,0.8522203795835637,0.0,0.8522203795835637,0.8522203795835637,5,0.6624579124579124,0.0,0.6624579124579124,0.6624579124579124,5,0.9014013713745171,3.6516979700250084e-08,0.9014013065548758,0.9014013901931228,5
adult,low,svm,llm_sample,1.0,0.8522203795835637,0.0,0.8522203795835637,0.8522203795835637,5,0.6624579124579124,0.0,0.6624579124579124,0.6624579124579124,5,0.9014013713745171,3.6516979700250084e-08,0.9014013065548758,0.9014013901931228,5
credit,full,svm,ctgan,0.0,0.7961666666666667,0.0,0.7961666666666667,0.7961666666666667,5,0.3613577023498694,0.0,0.3613577023498694,0.3613577023498694,5,0.6938523200266534,0.0,0.6938523200266534,0.6938523200266534,5
credit,full,svm,llm_constrained,1.0,0.8024666666666667,0.0022154758706276526,0.799,0.8041666666666667,5,0.28756977518232985,0.02880551520227049,0.24906600249066,0.318287037037037,5,0.7043651653077347,0.002035084455213934,0.7014396384108488,0.706755010545759,5
credit,full,svm,llm_sample,0.0,0.8068333333333333,0.0,0.8068333333333333,0.8068333333333333,5,0.43380556912554963,0.0,0.4338055691255496,0.4338055691255496,5,0.6769253246737539,0.0,0.6769253246737539,0.6769253246737539,5
credit,low,svm,ctgan,0.0,0.7956666666666667,0.00033333333333333245,0.7953333333333333,0.7961666666666667,5,0.36170482344026245,0.004330586571034969,0.3552285864424592,0.3656136716727084,5,0.6938113916128359,0.0009451031559915527,0.6924748160438736,0.695122423207217,5
credit,low,svm,llm_constrained,1.0,0.804,0.0,0.804,0.804,5,0.3264604810996563,0.0,0.3264604810996563,0.3264604810996563,5,0.7041077259073473,0.0,0.7041077259073473,0.7041077259073473,5
credit,low,svm,llm_sample,0.0,0.8065,0.0003535533905932414,0.8061666666666667,0.807,5,0.43293659925389444,0.0018824709251778348,0.4318514899853444,0.436222005842259,5,0.6767583857691679,0.0002847399581350132,0.6764978178769442,0.6771839896688814,5
heart,full,svm,ctgan,1.0,0.8852459016393442,0.0,0.8852459016393442,0.8852459016393442,5,0.8813559322033898,0.0,0.8813559322033898,0.8813559322033898,5,0.9556277056277056,0.0,0.9556277056277056,0.9556277056277056,5
heart,full,svm,llm_constrained,0.5,0.9147540983606559,0.0073313704180320936,0.9016393442622952,0.918032786885246,5,0.9083959899749374,0.008686479611841316,0.8928571428571429,0.912280701754386,5,0.974025974025974,0.0031552769993751653,0.9686147186147186,0.9761904761904762,5
heart,full,svm,llm_sample,0.25,0.9081967213114754,0.008979058319756834,0.9016393442622952,0.918032786885246,5,0.9054120397428405,0.009094273555595285,0.896551724137931,0.9152542372881356,5,0.959090909090909,0.002903984386363286,0.9567099567099566,0.9632034632034632,5
heart,low,svm,ctgan,0.25,0.780327868852459,0.021994111254096317,0.7540983606557377,0.8032786885245902,5,0.7425974025974026,0.029232032465160367,0.72,0.7857142857142857,5,0.8707792207792208,0.029723509274930445,0.8311688311688312,0.9015151515151516,5
heart,low,svm,llm_constrained,0.0,0.8688524590163935,0.03066932284240942,0.8360655737704918,0.918032786885246,5,0.8630684718390456,0.030361221281418837,0.8387096774193549,0.9152542372881356,5,0.9461038961038961,0.019561519910898793,0.9231601731601732,0.9686147186147186,5
heart,low,svm,llm_sample,0.0,0.8491803278688523,0.01371573813990284,0.8360655737704918,0.8688524590163934,5,0.8351653253080549,0.020160235804502984,0.8076923076923077,0.8571428571428571,5,0.9359307359307358,0.0062358702557956626,0.9307359307359307,0.9437229437229436,5
