dataset,regime,model,ratio,method,auc_mean,rank
adult,full,svm,0.0,ctgan,0.8913018941344706,1.0
adult,full,svm,0.0,llm_sample,0.8700960627086122,2.0
adult,full,svm,0.0,llm_constrained,0.836747262572449,3.0
adult,full,svm,0.25,ctgan,0.895458413913557,1.0
adult,full,svm,0.25,llm_sample,0.8818988558496903,2.0
adult,full,svm,0.25,llm_constrained,0.8702062958272251,3.0
adult,full,svm,0.5,ctgan,0.8980652047955662,1.0
adult,full,svm,0.5,llm_sample,0.8906747181025159,2.0
adult,full,svm,0.5,llm_constrained,0.8837472987459908,3.0
adult,full,svm,0.75,ctgan,0.8999862164168915,1.0
adult,full,svm,0.75,llm_constrained,0.8960751665289772,2.0
adult,full,svm,0.75,llm_sample,0.8956891697461223,3.0
adult,full,svm,1.0,ctgan,0.8994376770647827,1.0
adult,full,svm,1.0,llm_constrained,0.8994376770647827,1.0
adult,full,svm,1.0,llm_sample,0.8994376770647827,1.0
adult,low,svm,0.0,ctgan,0.8913018941344706,1.0
adult,low,svm,0.0,llm_sample,0.8700960627086122,2.0
adult,low,svm,0.0,llm_constrained,0.836747262572449,3.0
adult,low,svm,0.25,ctgan,0.8972586330875831,1.0
adult,low,svm,0.25,llm_sample,0.8809676192435715,2.0
adult,low,svm,0.25,llm_constrained,0.8668058156182298,3.0
adult,low,svm,0.5,ctgan,0.8999577668671686,1.0
adult,low,svm,0.5,llm_sample,0.8902622728149978,2.0
adult,low,svm,0.5,llm_constrained,0.885214779881907,3.0
adult,low,svm,0.75,ctgan,0.8996988103086648,1.0
adult,low,svm,0.75,llm_sample,0.8972243455882184,2.0
adult,low,svm,0.75,llm_constrained,0.8931666485798958,3.0
adult,low,svm,1.0,ctgan,0.9014013713745171,1.0
adult,low,svm,1.0,llm_constrained,0.9014013713745171,1.0
adult,low,svm,1.0,llm_sample,0.9014013713745171,1.0
credit,full,svm,0.0,ctgan,0.6938523200266534,1.0
credit,full,svm,0.0,llm_sample,0.6769253246737539,2.0
credit,full,svm,0.0,llm_constrained,0.6683300352471371,3.0
credit,full,svm,0.25,ctgan,0.7007748500218753,1.0
credit,full,svm,0.25,llm_sample,0.6805818220755737,2.0
credit,full,svm,0.25,llm_constrained,0.6727470464376234,3.0
credit,full,svm,0.5,ctgan,0.7025317078291798,1.0
credit,full,svm,0.5,llm_sample,0.6855357082671688,2.0
credit,full,svm,0.5,llm_constrained,0.6830273028642956,3.0
credit,full,svm,0.75,ctgan,0.7019258124927129,1.0
credit,full,svm,0.75,llm_constrained,0.6907841242262828,2.0
credit,full,svm,0.75,llm_sample,0.6886724567417467,3.0
credit,full,svm,1.0,ctgan,0.7043651653077347,1.0
credit,full,svm,1.0,llm_constrained,0.7043651653077347,1.0
credit,full,svm,1.0,llm_sample,0.7043651653077347,1.0
credit,low,svm,0.0,ctgan,0.6938113916128359,1.0
credit,low,svm,0.0,llm_sample,0.6767583857691679,2.0
credit,low,svm,0.0,llm_constrained,0.6677184634718745,3.0
credit,low,svm,0.25,ctgan,0.697706025297888,1.0
credit,low,svm,0.25,llm_sample,0.6795240048049764,2.0
credit,low,svm,0.25,llm_constrained,0.672749626637076,3.0
credit,low,svm,0.5,ctgan,0.7019187814492046,1.0
credit,low,svm,0.5,llm_sample,0.6806006252790848,2.0
credit,low,svm,0.5,llm_constrained,0.6748918372326329,3.0
credit,low,svm,0.75,ctgan,0.702126229485197,1.0
credit,low,svm,0.75,llm_constrained,0.6870506078708016,2.0
credit,low,svm,0.75,llm_sample,0.6843802949522753,3.0
credit,low,svm,1.0,ctgan,0.7041077259073473,1.0
credit,low,svm,1.0,llm_constrained,0.7041077259073473,1.0
credit,low,svm,1.0,llm_sample,0.7041077259073473,1.0
heart,full,svm,0.0,llm_constrained,0.9647186147186148,1.0
heart,full,svm,0.0,llm_sample,0.8740259740259742,2.0
