dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,xgboost,ctgan,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
adult,full,xgboost,llm_constrained,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
adult,full,xgboost,llm_sample,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
adult,low,xgboost,ctgan,1.0,0.8387814016338062,0.0017150733191729443,0.8367422148516676,0.8409802837663534,5,0.6067258621828163,0.006156491779951308,0.5995108529501681,0.6121611721611722,5,0.8872570063236788,0.0017432791037676613,0.8852951102362551,0.889104456015796,5
adult,low,xgboost,llm_constrained,0.5,0.8476997727412321,0.0012696539557763686,0.8469381487623611,0.8499477919046742,5,0.6183852371623045,0.010463211591253956,0.6023634621526669,0.6287798206959428,5,0.8891026097014929,0.0024208615978946503,0.8850563753149241,0.8913402213611664,5
adult,low,xgboost,llm_sample,1.0,0.8387814016338062,0.0017150733191729443,0.8367422148516676,0.8409802837663534,5,0.6067258621828163,0.006156491779951308,0.5995108529501681,0.6121611721611722,5,0.8872570063236788,0.0017432791037676613,0.8852951102362551,0.889104456015796,5
credit,full,xgboost,ctgan,0.0,0.7696666666666667,0.005886661004149776,0.7646666666666667,0.7798333333333334,5,0.4634635455067978,0.006569793839096235,0.4543325526932084,0.4722333200159808,5,0.7364901643603178,0.002544792198672181,0.7341753545476257,0.7396883538343619,5
credit,full,xgboost,llm_constrained,0.75,0.8128333333333334,0.001274754878398196,0.8113333333333334,0.8145,5,0.4167870269679219,0.022215467588702433,0.3946524064171123,0.4465440079562406,5,0.7642225996122283,0.001632608018002731,0.7623608889496669,0.7662299786601379,5
credit,full,xgboost,llm_sample,0.0,0.8000666666666667,0.0017973746286056877,0.7971666666666667,0.8018333333333333,5,0.43925942969677967,0.006432566433372746,0.4308712121212121,0.4450524395804833,5,0.7000464435901476,0.0033174847050430785,0.6969610572109238,0.7050589325618107,5
credit,low,xgboost,ctgan,0.0,0.7746666666666666,0.018992323010451742,0.7571666666666667,0.8051666666666667,5,0.3955442526502671,0.01913712036943775,0.3657362848893166,0.4188272836059035,5,0.7326287346169718,0.010259689809340965,0.7246098294955824,0.7505638945272517,5
credit,low,xgboost,llm_constrained,0.75,0.8029999999999999,0.004101151599788091,0.7963333333333333,0.8071666666666667,5,0.3469009205170221,0.041191133565257644,0.2734839476813318,0.3698924731182795,5,0.7470357297957079,0.00596792953424847,0.7382599715436253,0.753386713359676,5
credit,low,xgboost,llm_sample,0.25,0.8033333333333333,0.003818813079129891,0.7978333333333333,0.8075,5,0.4226261631650507,0.014685923475278926,0.4042021010505253,0.4453589391860997,5,0.705126646671196,0.015274577842718346,0.6832810009754766,0.7198733896128588,5
heart,full,xgboost,ctgan,0.5,0.8819672131147541,0.013715738139902924,0.8688524590163934,0.9016393442622952,5,0.8750151240169389,0.014217219483187547,0.8620689655172413,0.896551724137931,5,0.9534632034632035,0.008312928298559116,0.9437229437229436,0.9664502164502164,5
heart,full,xgboost,llm_constrained,0.5,0.898360655737705,0.031533416494543214,0.8524590163934426,0.9344262295081968,5,0.8890704032809296,0.033347838579045504,0.8421052631578947,0.9285714285714286,5,0.9597402597402598,0.006775963568181195,0.9523809523809524,0.9707792207792209,5
heart,full,xgboost,llm_sample,0.25,0.8950819672131148,0.018691400411461355,0.8688524590163934,0.918032786885246,5,0.8874513870884106,0.018870886625039184,0.8620689655172413,0.912280701754386,5,0.9567099567099568,0.005777639746770192,0.948051948051948,0.9632034632034632,5
heart,low,xgboost,ctgan,0.5,0.8426229508196721,0.027431476279805737,0.819672131147541,0.8852459016393442,5,0.8216438898791839,0.03440500816893102,0.7843137254901961,0.8727272727272727,5,0.9292207792207792,0.01751107668413936,0.9069264069264068,0.9523809523809524,5
heart,low,xgboost,llm_constrained,0.25,0.878688524590164,0.029780167417352486,0.8524590163934426,0.918032786885246,5,0.867432637243958,0.03135097766934882,0.8301886792452831,0.9090909090909092,5,0.9551948051948053,0.014811427512660583,0.9426406926406928,0.972943722943723,5
heart,low,xgboost,llm_sample,0.75,0.8655737704918034,0.03913880782397813,0.8032786885245902,0.9016393442622952,5,0.8496969696969696,0.04457281735926175,0.7777777777777778,0.8888888888888888,5,0.940909090909091,0.01545005815995056,0.9177489177489178,0.9588744588744588,5
