dataset,regime,model,method,ratio,seed,accuracy,f1,auc
adult,full,logistic_regression,llm_constrained,1.0,42,0.8654873779251888,0.6863362933256947,0.9189569536943119
adult,full,logistic_regression,llm_constrained,1.0,123,0.8642589521528161,0.6853644646924829,0.9179547688542041
adult,full,logistic_regression,llm_constrained,1.0,456,0.8682513359130275,0.694139455297305,0.9201861118272635
adult,full,logistic_regression,llm_constrained,1.0,789,0.8669614888520362,0.6944130925507901,0.9196819613838031
adult,full,logistic_regression,llm_constrained,1.0,1001,0.8648731650390025,0.6876774559909142,0.9184875026685828
adult,full,logistic_regression,llm_constrained,0.75,42,0.8653031140593329,0.6806465705548275,0.9124855175147898
adult,full,logistic_regression,llm_constrained,0.75,123,0.8649960076162397,0.6737904422677352,0.9163446698704296
adult,full,logistic_regression,llm_constrained,0.75,456,0.8638904244211043,0.6797687861271676,0.9139556060730568
adult,full,logistic_regression,llm_constrained,0.75,789,0.8648117437503838,0.6776036326351252,0.9126786173175918
adult,full,logistic_regression,llm_constrained,0.75,1001,0.8627848412259689,0.6658689799581214,0.9156040113739652
adult,full,logistic_regression,llm_constrained,0.5,42,0.8600208832381303,0.6632185606620363,0.9052864390409956
adult,full,logistic_regression,llm_constrained,0.5,123,0.859898040660893,0.660817843866171,0.9036354304996486
adult,full,logistic_regression,llm_constrained,0.5,456,0.8575640316933849,0.6609153384997807,0.9014627806664337
adult,full,logistic_regression,llm_constrained,0.5,789,0.8596523555064185,0.6558216598885375,0.9028716564826645
adult,full,logistic_regression,llm_constrained,0.5,1001,0.8567655549413427,0.6555391432791728,0.9062802077824972
adult,full,logistic_regression,llm_constrained,0.25,42,0.8486579448436828,0.6247334754797441,0.8899798557282058
adult,full,logistic_regression,llm_constrained,0.25,123,0.85418586081936,0.637778455904791,0.891647863743259
adult,full,logistic_regression,llm_constrained,0.25,456,0.8484122596892083,0.6381231671554253,0.8884621247334815
adult,full,logistic_regression,llm_constrained,0.25,789,0.8512376389656655,0.6272699292089874,0.8922936032841394
adult,full,logistic_regression,llm_constrained,0.25,1001,0.8520975370063264,0.6377858002406739,0.8924825316293713
adult,full,logistic_regression,llm_constrained,0.0,42,0.8327498310914563,0.5799784050593861,0.8574541333080747
adult,full,logistic_regression,llm_constrained,0.0,123,0.8336711504207358,0.5820987654320988,0.8582281634650991
adult,full,logistic_regression,llm_constrained,0.0,456,0.832626988514219,0.5840329720653336,0.8570118438030645
adult,full,logistic_regression,llm_constrained,0.0,789,0.8342853633069222,0.5861963190184049,0.8585697525207
adult,full,logistic_regression,llm_constrained,0.0,1001,0.8331183588231681,0.5821928340765801,0.858221284219282
adult,full,logistic_regression,llm_sample,1.0,42,0.8654873779251888,0.6863362933256947,0.9189569536943119
adult,full,logistic_regression,llm_sample,1.0,123,0.8642589521528161,0.6853644646924829,0.9179547688542041
adult,full,logistic_regression,llm_sample,1.0,456,0.8682513359130275,0.694139455297305,0.9201861118272635
