dataset,regime,model,method,ratio,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,f1_mean,f1_std,f1_min,f1_max,f1_count,auc_mean,auc_std,auc_min,auc_max,auc_count
adult,full,xgboost,ctgan,0.0,0.8011424359683066,0.002391726366225547,0.7986610159081138,0.8038204041520791,5,0.3104980687889581,0.01726970305731811,0.2920181700194679,0.3270281630937369,5,0.885420003048614,0.0015497873921766563,0.8834365011110297,0.8876073732133041,5
adult,full,xgboost,ctgan,0.25,0.8305878017320805,0.00135711862649476,0.8285117621767705,0.8321970394938886,5,0.49993309198436664,0.0073173902209059125,0.4903249361080686,0.5076923076923077,5,0.8970213513807943,0.0023974908529080467,0.8947647998400837,0.9010173756367222,5
adult,full,xgboost,ctgan,0.5,0.8437688102696395,0.0006347526900197429,0.8428229224249125,0.8444812972176157,5,0.5679574100918845,0.0052550570096623886,0.5631134837265369,0.5768716577540107,5,0.9035791440503619,0.0016225345787551086,0.9016277780182376,0.9053877354129148,5
adult,full,xgboost,ctgan,0.75,0.8512007861924943,0.0017047035777519673,0.8485965235550642,0.8528960137583687,5,0.604593851311877,0.005149628354024667,0.5964969716811263,0.6101253459221878,5,0.9077439440159031,0.0007399500540904993,0.9069479860014666,0.9087954503302772,5
adult,full,xgboost,ctgan,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
adult,full,xgboost,llm_constrained,0.0,0.818364965296972,0.002987437021481603,0.8158589767213316,0.823045267489712,5,0.44738889557779365,0.019754317901773715,0.4295506473724295,0.4730199378086702,5,0.8616743352484402,0.004071419248616054,0.8582822565013579,0.8664541837001184,5
adult,full,xgboost,llm_constrained,0.25,0.8428720594558075,0.0016083701280348772,0.8409188624777347,0.8452183526810393,5,0.5640223630376283,0.013667971364484891,0.5444952514948997,0.5779983457402812,5,0.8908657938597399,0.001999075068587694,0.8884473207637593,0.8936880828671023,5
adult,full,xgboost,llm_constrained,0.5,0.8522449480990112,0.0015098896941615131,0.8495792641729624,0.8532645414900805,5,0.6080384131204122,0.0052988818858370965,0.5997712044451707,0.6132426744374292,5,0.9021340549641286,0.00123637395447118,0.9000604809073746,0.9031422993952328,5
adult,full,xgboost,llm_constrained,0.75,0.8553405810453902,0.0013825930703743553,0.8533873840673177,0.8567655549413427,5,0.6187068676617248,0.006699568698944655,0.609009009009009,0.6261592580748321,5,0.9084835152151562,0.0003707688131616163,0.9081653197772462,0.9090812840394596,5
adult,full,xgboost,llm_constrained,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
adult,full,xgboost,llm_sample,0.0,0.8199496345433328,0.0015711128614182316,0.8173945089367975,0.8216325778514834,5,0.43422428672228053,0.0069192327309388225,0.4221574344023324,0.4385150812064965,5,0.893306405999706,0.002435273799964209,0.8905936872778488,0.8971178782816774,5
adult,full,xgboost,llm_sample,0.25,0.8336834346784595,0.0022456180876483534,0.8316442478963209,0.8372335851606166,5,0.5101859744444602,0.011670538972527896,0.4969719214534777,0.5259391771019678,5,0.9017670294266535,0.0013333827508356778,0.9002441295882635,0.9034148137135778,5
adult,full,xgboost,llm_sample,0.5,0.8428597751980836,0.000963942502185594,0.8422087095387262,0.8444812972176157,5,0.5605023303100897,0.008126410189927616,0.552204985183894,0.5727303408707392,5,0.9056218890492653,0.0011695142749618575,0.9045506629272008,0.9074848180899492,5
adult,full,xgboost,llm_sample,0.75,0.8505742890485843,0.00435082153736279,0.8447269823720902,0.8551071801486395,5,0.5965875845233855,0.01968204809575789,0.569188820722563,0.6161060802069858,5,0.9092369766362831,0.001032653579147232,0.9076275990323892,0.9103374259618556,5
adult,full,xgboost,llm_sample,1.0,0.8581782445795711,0.0015051349124553886,0.8560899207665377,0.859898040660893,5,0.638969408568986,0.006230126372648952,0.6313139260424863,0.6449814126394052,5,0.9106579235425146,0.0011795443274845885,0.9086417441418204,0.9116090827790732,5
